,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,05-06-2020 23:34:18,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0405,27453,10720,959,,True,400,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,05-06-2020 23:34:18,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0142,9608,3752,336,,,140,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
26,05-06-2020 23:34:18,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0709,48042,18760,1678,,True,700,,,,,,,,"""Kief"" Weed trichomes 5G"
27,05-06-2020 23:34:18,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0557,37748,14740,1319,,True,550,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
28,05-06-2020 23:34:18,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.0238,16129,6298,563,,True,235,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
29,05-06-2020 23:34:18,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0243,16472,6432,575,,True,240,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
30,05-06-2020 23:34:18,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0233,15785,6164,551,,True,230,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
31,05-06-2020 23:34:18,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0243,16472,6432,575,,True,240,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,05-06-2020 23:34:18,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0243,16472,6432,575,,True,240,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,05-06-2020 23:35:06,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0233,15785,6164,551,,True,230,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,05-06-2020 23:35:06,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0202,15030,5869,525,,True,219,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,05-06-2020 23:35:06,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0256,17158,6700,599,,True,250,,,,,,,,MARIXYANA - INDICA - 5 G.
36,05-06-2020 23:35:06,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0238,16129,6298,563,,True,235,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
37,05-06-2020 23:35:06,Tbilisi,A3I9,Joookerrr,Марки н-боооом!!! 5 шт.,,нет,7,Тбилиси,5 гр,0.0056,3775,1474,132,,True,55,,,,,,,,Marki n-boooom!!! 5 sht.
38,05-06-2020 23:35:06,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2551,190000,87429,6601,,True,,,,,,,,,reagent 25i nbome. 5gr
39,05-06-2020 23:35:06,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2764,205896,80400,7193,,,3000,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,05-06-2020 23:35:06,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0982,65818,25701,2299,,True,959,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,05-06-2020 23:35:06,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0194,13040,5092,456,,True,190,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
42,05-06-2020 23:35:06,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0501,33561,13105,1172,,True,489,,,,,,,,💘✨5g. MDMA ✨💘
43,05-06-2020 23:35:06,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0205,13726,5360,480,,True,200,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
44,05-06-2020 23:35:06,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0912,61769,24120,2158,,True,900,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,05-06-2020 23:35:06,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0405,27453,10720,959,,True,400,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
46,05-06-2020 23:35:06,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0709,48042,18760,1678,,True,700,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,05-06-2020 23:35:06,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0426,28825,11256,1007,,True,420,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,05-06-2020 23:35:06,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0811,54906,21440,1918,,True,800,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,05-06-2020 23:35:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.0271,18325,7156,640,,True,267,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
50,05-06-2020 23:35:06,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2255,152706,59630,5335,,True,2225,,,,,,,,Amfetamin [White] [Import] 10G
51,05-06-2020 23:35:06,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1596,106997,41781,3738,,True,1559,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,05-06-2020 23:35:06,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0827,55455,21654,1937,,True,808,,,,,,,,💘✨10gram MDMA ✨💘
53,05-06-2020 23:35:06,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0378,25325,9889,885,,True,369,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,05-06-2020 23:35:06,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0357,24021,9380,839,,True,350,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,05-06-2020 23:35:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0517,35002,13668,1223,,True,510,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
56,05-06-2020 23:35:06,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5118,343160,134000,11989,,True,5000,,,,,,,,METADON - 20 G.
57,05-06-2020 23:35:06,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1382,102948,40200,3597,,True,1500,,,,,,,,✨💘20g MDMA💘✨
58,05-06-2020 23:35:06,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0613,41111,16053,1436,,True,599,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,05-06-2020 23:35:06,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1316,89153,34813,3115,,True,1299,,,,,,,,50 gr georgian weed. Package on magnet
60,05-06-2020 23:35:06,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2533,171511,66973,5992,,True,2499,,,,,,,,100 gr georgian weed. Package on magnet
61,05-06-2020 23:35:06,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2432,164717,64320,5754,,True,2400,,,,,,,,100 gr marijuana buds
62,05-06-2020 23:35:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2027,137264,53600,4795,,True,2000,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,05-06-2020 23:35:06,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2534,171580,67000,5994,,True,2500,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,05-06-2020 23:35:06,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5979,404928,158120,14146,,True,5900,,,,,,,,180 gr marihuana persoalno
65,05-06-2020 23:35:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4662,315707,123280,11029,,True,4600,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,05-06-2020 23:35:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7601,514739,201000,17983,,True,7500,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,05-06-2020 23:35:06,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8614,583371,227800,20380,,True,8500,,,,,,,,10000sht marki 25i-nbome. predoplata
68,05-06-2020 23:35:46,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0203,13726,5360,480,,True,200,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,05-06-2020 23:35:46,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0254,17158,6700,599,,True,250,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,05-06-2020 23:35:46,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5351,1029479,402000,35966,,True,15000,,,,,,,,Vakansija optovogo kur'era na mef
71,05-06-2020 23:37:34,Batumi,H9FHF,OldStar,Gagarin fem. 60%sativa 40%indica 1g.,,5,нет,Батуми,1 гр,0.0051,3432,1340,120,,,50,,,,,True,,,Gagarin fem. 60%sativa 40%indica 1g.
72,05-06-2020 23:37:34,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0417,28825,11256,1007,,,420,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
73,05-06-2020 23:37:34,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5122,343160,134000,11989,,,5000,,,,,True,,,METADON - 20 G.
74,05-06-2020 23:37:34,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.167,112990,51992,3925,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,05-06-2020 23:37:34,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2644,178900,82321,6215,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,05-06-2020 23:37:34,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6863,2680,240,,,100,,,,,True,,,kur'er v Batumi
77,05-06-2020 23:37:34,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,17158,6700,599,,,250,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
78,05-06-2020 23:37:34,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,17158,6700,599,,,250,,,,,True,,,Ischu kur'era v Gruzii!
79,05-06-2020 23:37:34,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0203,13726,5360,480,,,200,,,,,True,,,Kur'er Batumi na marihuanu
80,05-06-2020 23:37:34,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0288,19491,7588,672,250,,,,,,,True,,,Rabota na marki (kur'er)
81,05-06-2020 23:37:34,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5351,1029479,402000,35966,,,15000,,,,,True,,,Vakansija optovogo kur'era na mef
82,05-06-2020 23:37:34,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0507,34316,13400,1199,,,500,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,05-06-2020 23:39:03,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,2 гр,0.0289,19972,7799,698,,,291,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
84,05-06-2020 23:39:03,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0288,19491,7588,672,250,,,,,,,,,True,Rabota na marki (kur'er)
