,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,05-02-2020 18:11:09,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,3,нет,Тбилиси,0.25 гр,0.0169,11371,4482,387,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,05-02-2020 18:11:09,Tbilisi,c72111ac1a,"NZT-52 mind storm limited 0,3г мука",True,5,нет,Тбилиси,0.3 гр,0.0066,4422,1743,150,70.0,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
2,2,05-02-2020 18:11:09,Tbilisi,61df6a1c90,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0169,12003,4731,408,190.0,,,,,,,,,,Metadon 0.30gr
3,3,05-02-2020 18:11:09,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,5,нет,Тбилиси,0.33 гр,0.006,3790,1494,129,60.0,,,,,,,,,,"A PVP 0,33 VHQ"
4,4,05-02-2020 18:11:09,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,1,нет,Тбилиси,0.5 гр,0.0124,7518,2963,256,119.0,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,5,05-02-2020 18:11:09,Tbilisi,366326d4d6,0.5 g. Ketamine,True,7,нет,Тбилиси,0.5 гр,0.0062,3727,1469,127,59.0,,,,,,,,,,0.5 g. Ketamine
6,6,05-02-2020 18:11:09,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,11,нет,Тбилиси,0.5 гр,0.0115,6949,2739,236,110.0,,,,,,,,,,"Cocaine, 0.5 g"
7,7,05-02-2020 18:11:09,Tbilisi,be97026d1d,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,4,нет,Тбилиси,0.5 гр,0.0107,6633,2615,226,105.0,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
8,8,05-02-2020 18:11:09,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0063,3790,1494,129,60.0,,,,,,,,,,Ketamine 0.5g
9,9,05-02-2020 18:11:09,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0282,18952,7470,644,300.0,,,,,,,,,,Metadon VHQ 0.5 24/7
10,10,05-02-2020 18:11:09,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,2,нет,Тбилиси,0.5 гр,0.0104,6254,2465,213,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
11,11,05-02-2020 18:11:09,Tbilisi,dd631c4acf,❄❄❄0.5g HQ COCAINE❄❄❄,True,1,нет,Тбилиси,0.5 гр,0.0104,6254,2465,213,99.0,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
12,12,05-02-2020 18:11:09,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,17,нет,Тбилиси,0.8 гр,0.0124,7581,2988,258,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
13,13,05-02-2020 18:11:09,Tbilisi,7ee4f68218,1 g Ketamine / 1 гр Кетамин (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0071,4738,1868,161,75.0,,,,,,,,,,1 g Ketamine / 1 gr Ketamin (skidka v bitkoin)
14,14,05-02-2020 18:11:09,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,9,нет,Тбилиси,1 гр,0.004,2464,971,84,39.0,True,,,,,,,,,1G -- AK-47 -> Sativa
15,15,05-02-2020 18:11:09,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,1 гр,0.0207,12509,4930,425,198.0,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
16,16,05-02-2020 18:11:09,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,8,нет,Тбилиси,1 гр,0.0124,7581,2988,258,120.0,,,,,,,,,,Apvp VHQ 1g 24/7
17,17,05-02-2020 18:11:09,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,13,нет,Тбилиси,1 гр,0.023,13898,5478,473,220.0,,,,,,,,,,"Cocaine, 1g"
18,18,05-02-2020 18:11:09,Tbilisi,28bf667d16,Crystal Mephedrone 1g,True,2,нет,Тбилиси,1 гр,0.0113,6886,2714,234,109.0,,,,,,,,,,Crystal Mephedrone 1g
19,19,05-02-2020 18:11:09,Tbilisi,8219f5e7b8,Ketamine 1g,True,17,нет,Тбилиси,1 гр,0.0104,6317,2490,215,100.0,,,,,,,,,,Ketamine 1g
20,20,05-02-2020 18:11:09,Tbilisi,366326d4d6,Ketamine 1g.,True,5,нет,Тбилиси,1 гр,0.0093,5623,2216,191,89.0,,,,,,,,,,Ketamine 1g.
