,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,12-03-2020 04:31:26,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,23,нет,Тбилиси,0.12 гр,0.0117,7862,2915,255,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,12-03-2020 04:31:26,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0223,15009,5565,486,210,,,,,,,,,,Metadon VHQ 0.25 24/7
2,12-03-2020 04:31:26,Tbilisi,I8ED,KKGRUZ,0.35gr ALFA PVP GREEN,True,22,нет,Тбилиси,0.35 гр,0.0083,5003,1855,162,70,,,,,,,,,,0.35gr ALFA PVP GREEN
3,12-03-2020 04:31:26,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0378,22871,8480,741,320,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
4,12-03-2020 04:31:26,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,5,нет,Тбилиси,0.5 гр,0.0129,7790,2889,252,109,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,12-03-2020 04:31:26,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0111,7076,2624,229,99,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,12-03-2020 04:31:26,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0117,7076,2624,229,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
7,12-03-2020 04:31:26,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0122,7790,2889,252,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,12-03-2020 04:31:26,Tbilisi,UJP9,420Inc,THC Snow Buds Only 0.5 G (THC 23+%),True,3,нет,Тбилиси,0.5 гр,0.0039,2359,875,76,33,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
9,12-03-2020 04:31:26,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,6,нет,Тбилиси,1 гр,0.0234,14151,5247,458,198,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
10,12-03-2020 04:31:26,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0201,12793,4744,414,179,,,,,,,,,,Cocaine Pure VHQ 1g
11,12-03-2020 04:31:26,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 1G,True,4,нет,Тбилиси,1 гр,0.0058,3574,1325,116,50,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
12,12-03-2020 04:31:26,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0223,13508,5009,437,189,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
13,12-03-2020 04:31:26,Tbilisi,UJP9,420Inc,THC Snow Buds Only 1G (THC 23+%),True,3,нет,Тбилиси,1 гр,0.0054,3359,1246,109,47,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
14,12-03-2020 04:31:26,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0223,14223,5274,461,199,,,,,,,,,,VHQ BEST Cocaine 1g.
15,12-03-2020 04:31:26,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0219,13508,5009,437,189,,,,,,,,,,Kokain HQ 1g.
16,12-03-2020 04:31:26,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0209,12793,4744,414,179,True,,,,,,,,,Kokain KOLUMBIA 1g
17,12-03-2020 04:31:26,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0957,64325,23850,2083,900,,,,,,,,,,Metadon 1gr
18,12-03-2020 04:31:26,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,11,нет,Тбилиси,1 гр,0.0021,1429,530,46,20,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
19,12-03-2020 04:31:26,Tbilisi,9VLN,AlienShop,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.0213,12865,4770,417,180,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
20,12-03-2020 04:31:26,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0229,14584,5409,472,,,180,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
21,12-03-2020 04:31:26,Tbilisi,ABOAB,ProGrow,2G ---> INDICA,,18,нет,Тбилиси,2 гр,0.0077,4789,1776,155,67,,,True,,,,,,,2G ---> INDICA
