,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,05-03-2020 00:10:04,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,7,нет,Тбилиси,1 гр,0.0193,12225,4614,414,185,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
1,05-03-2020 00:10:04,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0203,12489,4714,422,189,,,,,,,,Kokain HQ 1g.
2,05-03-2020 00:10:04,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0889,59471,22446,2012,900,,,,,,,,Metadon 1gr
3,05-03-2020 00:10:04,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0598,40000,18406,1347,,,,,,,,,reagent 25i nbome. 1gr.
4,05-03-2020 00:10:04,Tbilisi,03F3,geoshop,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.013,7929,2993,268,120,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
5,05-03-2020 00:10:04,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,2 гр,0.0098,5947,2245,201,90,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,05-03-2020 00:10:04,Tbilisi,0WE,Khachapuri,2 g Ketamine / 2 гр Кетамин (скидка в биткоин),True,2,нет,Тбилиси,2 гр,0.0156,9912,3741,335,150,,,,,,,,2 g Ketamine / 2 gr Ketamin (skidka v bitkoin)
7,05-03-2020 00:10:04,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0198,12535,4723,423,,170,,,,,,,2 gr mdma (skidka v bitkoin 5%)
8,05-03-2020 00:10:04,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,1,нет,Тбилиси,2 гр,0.0035,2313,873,78,35,,True,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
9,05-03-2020 00:10:04,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0395,25044,9452,847,379,,,,,,,,Kokain HQ 2g.
10,05-03-2020 00:10:04,Tbilisi,0WE,Khachapuri,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",True,3,нет,Тбилиси,3 гр,0.0116,7374,2778,249,,100,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
