,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,€,Батуми,Центр,Кутаиси,desc_en
33,33,01-03-2020 17:47:56,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,17,Тбилиси,5 гр,0.0203,13398,4940,448,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
34,34,01-03-2020 17:47:56,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2886,190000,87429,6347,,,,,,,,,,reagent 25i nbome. 5gr
35,35,01-03-2020 17:48:22,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0209,12393,4570,414,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,01-03-2020 17:48:22,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0553,32759,12078,1095,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
37,37,01-03-2020 17:48:22,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0372,22040,8126,737,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
38,38,01-03-2020 17:48:22,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0204,12058,4446,403,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
39,39,01-03-2020 17:48:22,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1009,60292,22230,2015,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
40,40,01-03-2020 17:48:22,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0784,46894,17290,1567,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,41,01-03-2020 17:48:22,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0447,26729,9855,893,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,42,01-03-2020 17:48:22,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0396,23447,8645,784,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
43,43,01-03-2020 17:48:22,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0896,53593,19760,1791,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,01-03-2020 17:48:22,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2493,149055,54958,4982,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
45,45,01-03-2020 17:48:22,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.16399999999999998,97070,35790,3244,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,46,01-03-2020 17:48:22,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0418,24720,9114,826,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,01-03-2020 17:48:22,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0338,20030,7385,670,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
