,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
23,23,25-06-2020 01:42:11,Tbilisi,54915c4374,марки н-боом 2 шт.,,7,нет,Тбилиси,2 гр,0.0036,2409,938,83,35.0,,True,,,,,,,,,marki n-boom 2 sht.
24,24,25-06-2020 01:42:11,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5851,2279,201,85.0,,True,,,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
25,25,25-06-2020 01:42:11,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,33,нет,Тбилиси,3 гр,0.0089,5989,2332,206,87.0,,,,,True,,,,,,3 gr georgian weed. Package on magnet
26,26,25-06-2020 01:42:11,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,3,нет,Тбилиси,3 гр,0.0045,3029,1180,104,44.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
27,27,25-06-2020 01:42:11,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,2,нет,Тбилиси,3 гр,0.0071,4750,1850,163,69.0,,,,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
28,28,25-06-2020 01:42:11,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,2,нет,Тбилиси,3 гр,0.0119,7916,3083,272,115.0,,True,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
29,29,25-06-2020 01:42:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,2,нет,Тбилиси,4 гр,0.0109,7366,2869,254,107.0,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
30,30,25-06-2020 01:42:11,Tbilisi,aeb8abccb9,🍁 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0143,9637,3753,332,140.0,,True,,True,,,,,,,🍁 4gr Hybrid Weed Indica Buds VHQ ❤
31,31,25-06-2020 01:42:11,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0223,16521,6434,569,240.0,,,,,,,,,,,5g. marihuana shishki Critical
32,32,25-06-2020 01:42:11,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,11,нет,Тбилиси,5 гр,0.0071,4750,1850,163,69.0,,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
33,33,25-06-2020 01:42:11,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0181,12047,4692,415,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
34,34,25-06-2020 01:43:34,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1172,80540,31368,2772,1170.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
35,35,25-06-2020 01:43:34,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,5 гр,0.0051,3786,1475,130,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
36,36,25-06-2020 01:43:34,Tbilisi,54915c4374,марки н-боом 5шт.,True,5,10,Тбилиси,5 гр,0.0066,4474,1743,154,65.0,,True,,,,,,,,,marki n-boom 5sht.
37,37,25-06-2020 01:43:34,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,10 гр,0.0244,16452,6408,566,239.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
38,38,25-06-2020 01:43:34,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,24,нет,Тбилиси,10 гр,0.0133,8880,3458,306,129.0,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
39,39,25-06-2020 01:43:34,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0167,12391,4826,426,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
40,40,25-06-2020 01:43:34,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0465,34419,13405,1185,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
41,41,25-06-2020 01:43:34,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,True,10,нет,Тбилиси,15 гр,0.0092,6195,2413,213,90.0,,,,,,,,,,,Silver haze leaves list'ja 15gr
42,42,25-06-2020 01:43:34,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2064,137675,53620,4738,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
43,43,25-06-2020 01:43:34,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",True,нет,4,Тбилиси,0.5 гр,0.0092,6195,2413,213,90.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
44,44,25-06-2020 01:43:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,6,Тбилиси,1 гр,0.0046,3098,1206,107,45.0,,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
45,45,25-06-2020 01:43:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0092,6195,2413,213,90.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
46,46,25-06-2020 01:43:34,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0217,14456,5630,498,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
47,47,25-06-2020 01:43:34,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0381,25401,9893,874,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
48,48,25-06-2020 01:43:34,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0087,5832,2267,201,,,,,,,75.0,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
49,49,25-06-2020 01:43:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,8,Тбилиси,3 гр,0.0123,8261,3217,284,120.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
50,50,25-06-2020 01:43:34,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0598,39857,15523,1372,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
51,51,25-06-2020 01:43:34,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,6,Тбилиси,4 гр,0.0409,27535,10724,948,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
52,52,25-06-2020 01:43:34,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),True,нет,10,Тбилиси,4 гр,0.0123,8261,3217,284,120.0,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
53,53,25-06-2020 01:43:34,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0256,17209,6703,592,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
54,54,25-06-2020 01:43:34,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0562,37861,14746,1303,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,25-06-2020 01:43:34,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0276,18586,7239,640,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
56,56,25-06-2020 01:43:34,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0286,19275,7507,663,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
57,57,25-06-2020 01:43:34,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0281,18930,7373,652,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
58,58,25-06-2020 01:43:34,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0245,16521,6434,569,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
