,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Tbilisis Zgva,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
0,30-07-2020 01:39:12,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,2,нет,Тбилиси,0.5 гр,0.0029,2384,919,80,33,,,,,,,,,,,,0.5 gr HYBRID buds
1,30-07-2020 01:39:12,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,18,нет,Тбилиси,0.5 гр,0.0026,2167,836,73,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
2,30-07-2020 01:39:12,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,1 гр,0.0053,4334,1671,145,60,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
3,30-07-2020 01:39:12,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0052,4262,1643,143,59,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,30-07-2020 01:39:12,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush (Indika),,3,нет,Тбилиси,1 гр,0.0047,3828,1476,128,53,True,,,,,,,,,,,1.0 gr. Afghan kush (Indika)
5,30-07-2020 01:39:12,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,29,нет,Тбилиси,1 гр,0.0043,3540,1365,118,49,,,,,,,,,,,,1gr HYBRID o.g
6,30-07-2020 01:39:12,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,14,нет,Тбилиси,1 гр,0.0043,3540,1365,118,49,,True,True,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
7,30-07-2020 01:39:12,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0044,3973,1532,133,55,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
8,30-07-2020 01:39:12,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3612,1393,121,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
9,30-07-2020 01:39:12,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0044,3973,1532,133,55,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
10,30-07-2020 01:39:12,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0087,7151,2757,239,99,,,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
11,30-07-2020 01:39:12,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.0106,8668,3342,290,120,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
12,30-07-2020 01:39:12,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0106,8668,3342,290,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,30-07-2020 01:39:12,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0088,7223,2785,242,100,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
