,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Old Tbilisi (Старый город),Vake,Дигоми,Varketili,Авлобари,Gldani,Didube,€,Центр,Батуми,Кутаиси,desc_en
97,97,05-05-2020 03:22:24,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9044,230775,20862,618174,,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
98,98,05-05-2020 03:22:24,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,5430,491,14545,,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
99,99,05-05-2020 03:22:24,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,5430,491,14545,,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
100,100,05-05-2020 03:22:24,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0266,6788,614,18182,,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
101,101,05-05-2020 03:22:24,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0213,5430,491,14545,,200.0,,,,,,,,,,,,Rabota na marki (kur'er)
102,102,05-05-2020 03:22:24,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6104,407250,36816,1090895,,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
103,103,05-05-2020 03:23:38,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0037,947,86,2532,,,,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
104,104,05-05-2020 03:23:38,Batumi,54915c4374,Батуми н-бооом 3 штуки,,2,нет,Батуми,3 гр,0.0052,1332,121,3560,,,,,,,,,,45.0,True,,,Batumi n-booom 3 shtuki
105,105,05-05-2020 03:23:38,Batumi,54915c4374,Батуми н-бооом 5 штук,,1,нет,Батуми,5 гр,0.0063,1776,161,4747,,,,,,,,,,60.0,,True,,Batumi n-booom 5 shtuk
106,106,05-05-2020 03:23:38,Batumi,3c4662c591,шишки марихуаны 5G,,4,нет,Батуми,5 гр,0.0319,8145,736,21818,,300.0,,,,,,,,,True,,,shishki marihuany 5G
107,107,05-05-2020 03:23:38,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2341,59730,5400,159998,,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
108,108,05-05-2020 03:23:38,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,1658,150,4431,,,,,,,,,,56.0,,True,,Marki N-VoooooM!!!! 4 shtuki
109,109,05-05-2020 03:23:38,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,8,Батуми,10 гр,0.0117,2987,270,8000,,110.0,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
110,110,05-05-2020 03:23:38,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1653,51992,3672,112990,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
111,111,05-05-2020 03:23:38,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2617,82316,5814,178890,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
112,112,05-05-2020 03:23:38,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,2715,245,7273,,100.0,,,,,,,,,,True,,kur'er v Batumi
113,113,05-05-2020 03:23:38,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,6788,614,18182,,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
114,114,05-05-2020 03:23:38,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,6788,614,18182,,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
115,115,05-05-2020 03:23:38,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6104,407250,36816,1090895,,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
116,116,05-05-2020 03:23:38,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0532,13575,1227,36363,,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
117,117,05-05-2020 03:25:00,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0229,5973,540,16000,,220.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
118,118,05-05-2020 03:25:00,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0553,14118,1276,37818,,520.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
119,119,05-05-2020 03:25:00,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0407,10589,957,28363,,390.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
120,120,05-05-2020 03:25:00,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0213,5430,491,14545,,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
