,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,10-04-2020 05:27:44,Tbilisi,A3I9,Joookerrr,MDMA 0.4 грам.,True,1,нет,Тбилиси,0.4 гр,0.0079,4849,1788,164,65,,,,,,,,,MDMA 0.4 gram.
1,10-04-2020 05:27:44,Tbilisi,H9FHF,OldStar,0.5 a-pvp white,True,1,нет,Тбилиси,0.5 гр,0.0143,8000,3681,270,,,,,,,,,,0.5 a-pvp white
2,10-04-2020 05:27:44,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0213,13877,5115,468,186,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
3,10-04-2020 05:27:44,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,3,нет,Тбилиси,0.5 гр,0.01,5595,2063,189,75,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
4,10-04-2020 05:27:44,Tbilisi,U26MW,Skyhigh,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,2,нет,Тбилиси,0.5 гр,0.004,2238,825,75,30,True,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
5,10-04-2020 05:27:44,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0147,8132,2998,274,109,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,10-04-2020 05:27:44,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0073,4476,1650,151,60,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,10-04-2020 05:27:44,Tbilisi,H9FHF,OldStar,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.025,14000,6442,472,,,,,,,,,,1 a-pvp white
8,10-04-2020 05:27:44,Tbilisi,SF03,CRAZYFROG,1 гр листя плус галовки марихуана,True,4,нет,Тбилиси,1 гр,0.004,2238,825,75,30,,,,,,,,,1 gr listja plus galovki marihuana
9,10-04-2020 05:27:44,Tbilisi,8B31,GEOWEEDSHOP,1g zkittlez auto. 420 Strain. LIMITED!,True,2,нет,Тбилиси,1 гр,0.0063,3506,1293,118,47,,,,,,,,,1g zkittlez auto. 420 Strain. LIMITED!
10,10-04-2020 05:27:44,Tbilisi,U26MW,Skyhigh,Georgian Ganja Buds 1 G Medium Quality,,1,нет,Тбилиси,1 гр,0.0044,2462,908,83,33,True,,,,,,,,Georgian Ganja Buds 1 G Medium Quality
11,10-04-2020 05:27:44,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0799,44763,16500,1510,600,True,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,10-04-2020 05:27:44,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,1,нет,Тбилиси,1 гр,0.0932,52224,19250,1761,700,True,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
13,10-04-2020 05:27:44,Tbilisi,U26MW,Skyhigh,Super Quality Mango Haze Hybrid 1 Gram,,1,нет,Тбилиси,1 гр,0.0072,4029,1485,136,54,True,,,,,,,,Super Quality Mango Haze Hybrid 1 Gram
14,10-04-2020 05:27:44,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,4,нет,Тбилиси,1 гр,0.0028,1716,633,58,23,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
15,10-04-2020 05:27:44,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,5,нет,Тбилиси,1 гр,0.0249,14100,5198,476,189,,,,,,,,,Kokain HQ 1g.
16,10-04-2020 05:27:44,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.109,67145,24750,2264,900,,,,,,,,,Metadon 1gr
17,10-04-2020 05:27:44,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0024,1492,550,50,20,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
18,10-04-2020 05:27:44,Tbilisi,LGRP8,Walker12,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,4,нет,Тбилиси,1.1 гр,0.0059,3357,1238,113,45,,True,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
19,10-04-2020 05:27:44,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,12,нет,Тбилиси,2 гр,0.0092,5148,1898,174,69,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,10-04-2020 05:27:44,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,4,нет,Тбилиси,2 гр,0.0106,5894,2173,199,79,True,,,,,,,,2g super Skunk top class buds. Indica
21,10-04-2020 05:27:44,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0094,5222,1925,176,70,,,,,,,,,2x Extasy Duracell 223mg MDMA.
22,10-04-2020 05:27:44,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,8,нет,Тбилиси,2 гр,0.0042,2611,963,88,35,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
23,10-04-2020 05:27:44,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0484,28275,10423,954,379,,,,,,,,,Kokain HQ 2g.
24,10-04-2020 05:27:44,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0042,2611,963,88,35,True,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
25,10-04-2020 05:27:44,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0107,5968,2200,201,80,,,True,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
26,10-04-2020 05:27:44,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0409,23874,8800,805,320,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,10-04-2020 05:27:44,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0396,22382,8250,755,300,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,10-04-2020 05:27:44,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,6,нет,Тбилиси,5 гр,0.0179,9997,3685,337,134,,,,,,,,,5gr marijuana buds -indica- (hight quality)
29,10-04-2020 05:27:44,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,2,нет,Тбилиси,10 гр,0.0278,15592,5748,526,209,,,,,,,,,10 gr marijuana buds. -indica-
30,10-04-2020 05:27:44,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0486,27231,10038,918,365,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
31,10-04-2020 05:27:44,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0103,6341,2338,214,85,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
32,10-04-2020 05:27:44,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0511,29842,11000,1006,400,,,,,,,,,gashish evro 10g
33,10-04-2020 05:28:36,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0993,57968,21368,1955,777,,,,,,,,,Gashish Evro 20gr
34,10-04-2020 05:28:36,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2422,149210,55000,5032,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,10-04-2020 05:28:36,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.22 G.,True,5,15,Тбилиси,0.22 гр,0.02,11116,4098,375,149,,,,,,,,,METADON - 0.22 G.
36,10-04-2020 05:28:36,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,8,10,Тбилиси,1 гр,0.0393,27231,10038,918,365,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
37,10-04-2020 05:28:36,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,True,нет,1,Тбилиси,1 гр,0.0132,8109,3005,274,,,,,100,,,,,MDMA 1 gr
38,10-04-2020 05:28:36,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),True,нет,1,Тбилиси,2 гр,0.0197,12163,4508,410,,,,,150,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
39,10-04-2020 05:28:36,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,1,Тбилиси,2 гр,0.0269,14921,5500,503,200,,,,,,,,,✨✨2gram. MDMA✨✨
40,10-04-2020 05:28:36,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0496,27529,10148,928,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,10-04-2020 05:28:36,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0794,44017,16225,1484,590,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
42,10-04-2020 05:28:36,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0533,29842,11000,1006,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,10-04-2020 05:28:36,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0213,11937,4400,403,160,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
44,10-04-2020 05:28:36,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0733,41033,15125,1384,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,10-04-2020 05:28:36,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0225,12608,4648,425,169,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
