,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,10-03-2020 02:16:46,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.0211,14179,5414,494,210,,,,,,,,Metadon VHQ 0.25 24/7
1,10-03-2020 02:16:46,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,3,нет,Тбилиси,0.35 гр,0.0357,21606,8250,753,320,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,10-03-2020 02:16:46,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.011,6684,2552,233,99,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,10-03-2020 02:16:46,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.014,9452,3609,329,140,,,,,,,,ALFA PVP 1g
4,10-03-2020 02:16:46,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,3,нет,Тбилиси,1 гр,0.0165,10128,3867,353,150,,,,,,,,Apvp VHQ 1g 24/7
5,10-03-2020 02:16:46,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.02,12761,4872,445,189,,,,,,,,Cocaine Pure VHQ 1g
6,10-03-2020 02:16:46,Tbilisi,X4ZM,ZYX,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0088,5401,2062,188,80,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
7,10-03-2020 02:16:46,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,5,нет,Тбилиси,1 гр,0.014,9452,3609,329,140,,,,,,,,NZT-52 mind storm limited 1g muka
8,10-03-2020 02:16:46,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0211,13436,5130,468,199,,,,,,,,VHQ BEST Cocaine 1g.
9,10-03-2020 02:16:46,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0206,12761,4872,445,189,,,,,,,,Kokain HQ 1g.
10,10-03-2020 02:16:46,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0197,12086,4615,421,179,True,,,,,,,Kokain KOLUMBIA 1g
11,10-03-2020 02:16:46,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0903,60766,23202,2117,900,,,,,,,,Metadon 1gr
12,10-03-2020 02:16:46,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,9,нет,Тбилиси,2 гр,0.0035,2363,902,82,35,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
