,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,26-02-2020 14:37:41,Tbilisi,JVZTQ,partyshop,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0201,12383,4668,421,189,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,26-02-2020 14:37:41,Tbilisi,0WE,Khachapuri,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,2 гр,0.0078,4987,1877,169,,,70,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
26,26-02-2020 14:37:41,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0085,5176,1951,176,79,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
27,26-02-2020 14:37:41,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0075,4586,1729,156,70,,,,,,,,,2x Extasy Duracell 223mg MDMA.
28,26-02-2020 14:37:41,Tbilisi,5JG6,BenderMan,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.043,26207,9880,891,400,,,,,,,,,"Cocaine, 2 g"
29,26-02-2020 14:37:41,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0364,22604,8522,768,345,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
30,26-02-2020 14:37:41,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,4,нет,Тбилиси,2 гр,0.0194,11793,4446,401,180,,,,,,,,,Ketamine 2 g
31,26-02-2020 14:37:41,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,6,нет,Тбилиси,2 гр,0.0075,4586,1729,156,70,,,,,,,,,"LSD - 250 ug, 2 pieces"
32,26-02-2020 14:37:41,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0372,22866,8620,777,349,,,True,,,,,,Kokain KOLUMBIA 2g
33,26-02-2020 14:38:35,Tbilisi,0WE,Khachapuri,🍃 2гр ГАШИШ 🍃,True,5,нет,Тбилиси,2 гр,0.0112,7207,2717,245,110,,,,,,,,,🍃 2gr GAShISh 🍃
34,26-02-2020 14:38:35,Tbilisi,03F3,geoshop,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0223,13759,5187,468,210,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
35,26-02-2020 14:38:35,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0113,6879,2594,234,105,,,,,,,,,3x Extasy Duracell 223mg MDMA
36,26-02-2020 14:38:35,Tbilisi,X4ZM,ZYX,NEW ! Easy Bud ! 3g,True,5,нет,Тбилиси,3 гр,0.0085,5241,1976,178,80,,,,,,,,,NEW ! Easy Bud ! 3g
37,26-02-2020 14:38:35,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,True,2,нет,Тбилиси,4 гр,0.0071,4390,1655,149,67,,,,,,,,,metadon sirop 4ml
38,26-02-2020 14:38:35,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0166,10155,3829,345,155,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
39,26-02-2020 14:38:35,Tbilisi,0WE,Khachapuri,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0183,11755,4424,399,,,165,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
40,26-02-2020 14:38:35,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0161,9828,3705,334,150,,,,,,,,,"LSD - 250 ug, 5 pieces"
41,26-02-2020 14:38:35,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0171,10417,3927,354,159,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
42,26-02-2020 14:38:35,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0165,10090,3804,343,154,,,,,,,,,NEW !!! 5G White Widow !!! NEW
43,26-02-2020 14:38:35,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0214,13759,5187,468,210,,,,,,,,,gashish evro 5g
44,26-02-2020 14:38:35,Tbilisi,0WE,Khachapuri,🍃 5гр ГАШИШ 🍃,True,3,нет,Тбилиси,5 гр,0.0275,17690,6669,601,270,,,,,,,,,🍃 5gr GAShISh 🍃
45,26-02-2020 14:38:35,Tbilisi,0WE,Khachapuri,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0333,21373,8043,725,,,300,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
46,26-02-2020 14:38:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,11,нет,Тбилиси,10 гр,0.0284,17493,6595,595,267,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
47,26-02-2020 14:38:35,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0322,19655,7410,668,300,,,,,,,,,"LSD - 250 ug, 10 pieces"
48,26-02-2020 14:38:35,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,2,нет,Тбилиси,10 гр,0.0245,15724,5928,534,240,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
49,26-02-2020 14:38:35,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0408,26207,9880,891,400,,,,,,,,,gashish evro 10g
50,26-02-2020 14:38:35,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,12,нет,Тбилиси,10 гр,0.0092,6224,2347,212,95,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
51,26-02-2020 14:38:35,Tbilisi,0V3X,arinaneb,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,3,нет,Тбилиси,20 гр,0.0459,29483,11115,1002,450,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
52,26-02-2020 14:38:35,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0793,50907,19192,1730,777,,,,,,,,,Gashish Evro 20gr
53,26-02-2020 14:38:35,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.17 G,True,1,4,Тбилиси,0.17 гр,0.0161,9828,3705,334,150,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
54,26-02-2020 14:38:35,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,1,5,Тбилиси,0.27 гр,0.0244,14873,5607,505,227,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
55,26-02-2020 14:38:35,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.35g,True,нет,1,Тбилиси,0.35 гр,0.0191,11793,4446,401,180,,,,,,,,,Methadone HQ in city 0.35g
56,26-02-2020 14:38:35,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0322,19655,7410,668,300,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
57,26-02-2020 14:38:35,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0644,39311,14820,1336,600,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
58,26-02-2020 14:38:35,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0178,10941,4125,372,167,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
