,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,29-05-2020 18:29:16,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0101,7004,2678,239,99.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,1,29-05-2020 18:29:16,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,8,нет,Тбилиси,0.25 гр,0.0104,7075,2705,241,100.0,True,,,,,,,,,,Iranian Sirec 0.25g.
2,2,29-05-2020 18:29:16,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,12,нет,Тбилиси,0.5 гр,0.0168,11250,4301,384,159.0,True,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,29-05-2020 18:29:16,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0031,2123,812,72,30.0,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,4,29-05-2020 18:29:16,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,12,нет,Тбилиси,1 гр,0.0315,21155,8088,722,299.0,True,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,5,29-05-2020 18:29:16,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,3,нет,Тбилиси,1 гр,0.0054,3679,1407,126,52.0,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
6,6,29-05-2020 18:29:16,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0854,63677,24345,2172,900.0,True,,,,,,,,,,Metadon 1gr
7,7,29-05-2020 18:29:16,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,True,10,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
8,8,29-05-2020 18:29:16,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,2 гр,0.0074,4953,1894,169,70.0,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,9,29-05-2020 18:29:16,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0093,6297,2407,215,89.0,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
10,10,29-05-2020 18:29:16,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0089,6014,2299,205,85.0,,,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
