,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Тбилиси,Дигоми,Saburtalo,Vake,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
23,23,19-06-2020 21:16:13,Tbilisi,7bd1a5deba,11 - GRAMM BEASTWEED,,3,нет,Тбилиси,11 гр,0.0173,12871,4967,441,185.0,,True,,,,,,,,,,11 - GRAMM BEASTWEED
24,24,19-06-2020 21:16:13,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0468,34786,13425,1191,500.0,,True,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
25,25,19-06-2020 21:16:13,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2079,139145,53700,4763,2000.0,,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26,19-06-2020 21:16:13,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,5,Тбилиси,0.5 гр,0.0093,6262,2417,214,90.0,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
27,27,19-06-2020 21:16:13,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,9,Тбилиси,1 гр,0.0046,3131,1208,107,45.0,,True,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
28,28,19-06-2020 21:16:13,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,10,Тбилиси,2 гр,0.0093,6262,2417,214,90.0,,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
29,29,19-06-2020 21:16:13,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0384,25672,9908,879,369.0,,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,19-06-2020 21:16:13,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,10,Тбилиси,2.2 гр,0.0087,5850,2261,201,,,True,,,,,75.0,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
31,31,19-06-2020 21:16:13,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,10,Тбилиси,3 гр,0.0124,8349,3222,286,120.0,,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
32,32,19-06-2020 21:16:13,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,4,Тбилиси,3 гр,0.0602,40282,15546,1379,579.0,,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
33,33,19-06-2020 21:16:13,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0412,27829,10740,953,400.0,,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,34,19-06-2020 21:16:54,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0289,19480,7518,667,280.0,,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
35,35,19-06-2020 21:16:54,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0283,19132,7384,655,275.0,,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
36,36,19-06-2020 21:16:54,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16697,6444,572,240.0,,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,37,19-06-2020 21:16:54,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0289,19480,7518,667,280.0,,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,38,19-06-2020 21:16:54,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0278,18785,7250,643,270.0,,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,39,19-06-2020 21:16:54,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15236,5880,522,219.0,,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,40,19-06-2020 21:16:54,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,10,Тбилиси,5 гр,0.018000000000000002,12175,4699,417,175.0,,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
41,41,19-06-2020 21:16:54,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0278,18785,7250,643,270.0,,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,42,19-06-2020 21:16:54,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2558,190000,87429,6513,,,True,,,,,,,,,,reagent 25i nbome. 5gr
43,43,19-06-2020 21:16:54,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.281,208718,80550,7145,3000.0,,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,44,19-06-2020 21:16:54,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0998,66720,25749,2284,959.0,,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,45,19-06-2020 21:16:54,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0198,13219,5102,453,190.0,,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,46,19-06-2020 21:16:54,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0509,34021,13130,1165,489.0,,True,,,,,,,,,,💘✨5g. MDMA ✨💘
47,47,19-06-2020 21:16:54,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0927,62615,24165,2144,900.0,,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,19-06-2020 21:16:54,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0567,38265,14768,1310,550.0,,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,49,19-06-2020 21:16:54,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0721,48701,18795,1667,700.0,,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,19-06-2020 21:16:54,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0433,29220,11277,1000,420.0,,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,19-06-2020 21:16:54,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0824,55658,21480,1905,800.0,,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,19-06-2020 21:16:54,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.034,22959,8861,786,330.0,,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
53,53,19-06-2020 21:16:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2293,154799,59741,5299,2225.0,,True,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,19-06-2020 21:16:54,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,20,Тбилиси,10 гр,0.2267,153060,59070,5240,2200.0,,True,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
55,55,19-06-2020 21:16:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1623,108464,41859,3713,1559.0,,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,56,19-06-2020 21:16:54,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0821,54893,21185,1879,789.0,,True,,,,,,,,,,💘✨10gram MDMA ✨💘
57,57,19-06-2020 21:16:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0384,25672,9908,879,369.0,,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,58,19-06-2020 21:16:54,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0454,30422,11759,1044,,,True,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
59,59,19-06-2020 21:16:54,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1405,104359,40275,3573,1500.0,,True,,,,,,,,,,✨💘20g MDMA💘✨
60,60,19-06-2020 21:16:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0623,41674,16083,1427,599.0,,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,61,19-06-2020 21:16:54,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1339,90375,34878,3094,1299.0,,True,,,,,,,,,,50 gr georgian weed. Package on magnet
62,62,19-06-2020 21:16:54,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2575,173862,67098,5952,2499.0,,True,,,,,,,,,,100 gr georgian weed. Package on magnet
63,63,19-06-2020 21:16:54,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2473,166974,64440,5716,2400.0,,True,,,,,,,,,,100 gr marijuana buds
64,64,19-06-2020 21:16:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2061,139145,53700,4763,2000.0,,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,19-06-2020 21:16:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2576,173931,67125,5954,2500.0,,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,19-06-2020 21:16:54,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.608,410478,158415,14052,5900.0,,True,,,,,,,,,,180 gr marihuana persoalno
67,67,19-06-2020 21:16:54,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4419,295683,114113,10122,4250.0,,True,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
68,68,19-06-2020 21:16:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.474,320034,123510,10956,4600.0,,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,69,19-06-2020 21:17:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.474,320034,123510,10956,4600.0,,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,70,19-06-2020 21:17:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7728,521794,201375,17863,7500.0,,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,71,19-06-2020 21:17:19,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8759,591366,228225,20244,8500.0,,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,19-06-2020 21:17:19,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,13915,5370,476,200.0,,True,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,19-06-2020 21:17:19,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0206,13915,5370,476,200.0,,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,19-06-2020 21:17:19,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0258,17393,6713,595,250.0,,True,,,,,,,,,,Rabota na marki (kur'er)
75,75,19-06-2020 21:17:19,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5597,1043588,402750,35726,15000.0,,True,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,19-06-2020 21:18:36,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,13,нет,Батуми,0.25 гр,0.0135,9283,3588,319,,,,,,,,119.0,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
77,77,19-06-2020 21:18:36,Batumi,f8a875c191,METADON - 025,,2,3,Батуми,0.25 гр,0.0364,24350,9398,834,350.0,,,,,,,,,,True,,METADON - 025
78,78,19-06-2020 21:18:36,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1545,104359,40275,3573,1500.0,,,,,,,,,,True,,Gerojn (sirets) 5 gr
79,79,19-06-2020 21:18:36,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0433,29220,11277,1000,420.0,,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
80,80,19-06-2020 21:18:36,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2265,153060,59070,5240,2200.0,,,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
81,81,19-06-2020 21:18:36,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1672,112990,51992,3873,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,82,19-06-2020 21:18:36,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2648,178900,82321,6133,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,83,19-06-2020 21:18:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6957,2685,238,100.0,,,,,,,,,,True,,kur'er v Batumi
84,84,19-06-2020 21:18:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17393,6713,595,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
85,85,19-06-2020 21:18:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17393,6713,595,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
86,86,19-06-2020 21:18:36,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0206,13915,5370,476,200.0,,,,,,,,,,True,,Kur'er Batumi na marihuanu
87,87,19-06-2020 21:18:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5587,1043588,402750,35726,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
88,88,19-06-2020 21:18:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0515,34786,13425,1191,500.0,,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
