,time_stamp,region,sell_code,sell_name,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
20,15-06-2020 19:30:21,Tbilisi,6P9R,RickNMorty,New !!! VHQ Ketamine Imported!! New!!! 2G,True,,нет,1,Тбилиси,2 гр,0.0314,21119,8088,713,300,,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 2G
21,15-06-2020 19:30:21,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,,нет,8,Тбилиси,2 гр,0.039,25976,9948,878,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
22,15-06-2020 19:30:21,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,,нет,5,Тбилиси,3 гр,0.0612,40759,15610,1377,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
23,15-06-2020 19:30:21,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,,нет,7,Тбилиси,4 гр,0.0418,28158,10784,951,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,15-06-2020 19:30:21,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,,нет,4,Тбилиси,5 гр,0.0575,38717,14828,1308,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,15-06-2020 19:30:21,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,,нет,6,Тбилиси,5 гр,0.0246,16543,6336,559,235,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
26,15-06-2020 19:30:21,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,,нет,5,Тбилиси,5 гр,0.0251,16895,6470,571,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
27,15-06-2020 19:30:21,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,,нет,6,Тбилиси,5 гр,0.0241,16191,6201,547,230,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
28,15-06-2020 19:30:21,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0251,16895,6470,571,240,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
29,15-06-2020 19:30:21,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,,нет,8,Тбилиси,5 гр,0.0251,16895,6470,571,240,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
30,15-06-2020 19:30:21,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,,нет,6,Тбилиси,5 гр,0.0241,16191,6201,547,230,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
31,15-06-2020 19:30:21,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,,нет,2,Тбилиси,5 гр,0.0208,15417,5904,521,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
32,15-06-2020 19:30:21,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0246,16543,6336,559,235,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,15-06-2020 19:30:21,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,,нет,2,Тбилиси,5 гр,0.2566,190000,87429,6482,,,,,,,,,,,reagent 25i nbome. 5gr
34,15-06-2020 19:31:03,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2852,211185,80880,7134,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
35,15-06-2020 19:31:03,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,,нет,8,Тбилиси,5 гр,0.1013,67509,25855,2281,959,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
36,15-06-2020 19:31:03,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,,нет,9,Тбилиси,5 гр,0.0201,13375,5122,452,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
37,15-06-2020 19:31:03,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,,нет,9,Тбилиси,5 гр,0.0517,34423,13183,1163,489,,,,,,,,,,💘✨5g. MDMA ✨💘
38,15-06-2020 19:31:03,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,,нет,1,Тбилиси,10 гр,0.0941,63356,24264,2140,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
