,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,24,23-03-2020 01:05:11,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0449,23413,8430,768,300.0,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,25,23-03-2020 01:05:11,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0454,24405,8802,801,,True,290.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
26,26,23-03-2020 01:05:11,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),,2,нет,Тбилиси,5 гр,0.0581,31218,11240,1024,400.0,True,,,,,,,,,,,5g MDMA (IMPORTED)
27,27,23-03-2020 01:05:11,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,8,нет,Тбилиси,5 гр,0.0267,13658,4918,448,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,28,23-03-2020 01:05:11,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,8,нет,Тбилиси,5 гр,0.0089,5073,1827,166,65.0,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,29,23-03-2020 01:05:11,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,5.5 гр,0.0492,25364,9133,832,325.0,,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
30,30,23-03-2020 01:05:11,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0552,28486,10257,934,365.0,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
31,31,23-03-2020 01:05:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0404,20838,7503,683,267.0,True,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
32,32,23-03-2020 01:05:11,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0136,7726,2782,253,99.0,True,,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
33,33,23-03-2020 01:06:10,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0136,7726,2782,253,99.0,True,,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,23-03-2020 01:06:10,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0582,31218,11240,1024,400.0,True,,,,,,,,,,,gashish evro 10g
35,35,23-03-2020 01:06:10,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0962,49558,17844,1625,635.0,,,,,True,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
36,36,23-03-2020 01:06:10,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2755,156089,56200,5118,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,23-03-2020 01:06:10,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,14,5,Тбилиси,0.27 гр,0.0383,19511,7025,640,250.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
38,38,23-03-2020 01:06:10,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,,нет,5,Тбилиси,0.35 гр,0.0459,23413,8430,768,300.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
39,39,23-03-2020 01:06:10,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.1148,58533,21075,1919,750.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
40,40,23-03-2020 01:06:10,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,,нет,1,Тбилиси,1.4 гр,0.1061,54631,19670,1791,700.0,True,,,,,,,,,,,Methadone HQ in city 1.4g
41,41,23-03-2020 01:06:10,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0306,15609,5620,512,200.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
42,42,23-03-2020 01:06:10,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0903,46046,16579,1510,590.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
