,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-03-2020 00:45:24,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0211,14179,5414,470,210.0,,,,,,,,Metadon VHQ 0.25 24/7
1,1,10-03-2020 00:45:24,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,3,нет,Тбилиси,0.35 гр,0.0357,21606,8250,717,320.0,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,2,10-03-2020 00:45:24,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0141,9452,3609,314,140.0,,,,,,,,ALFA PVP 1g
3,3,10-03-2020 00:45:24,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,5,нет,Тбилиси,1 гр,0.0166,10128,3867,336,150.0,,,,,,,,Apvp VHQ 1g 24/7
4,4,10-03-2020 00:45:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.02,12761,4872,423,189.0,,,,,,,,Cocaine Pure VHQ 1g
5,5,10-03-2020 00:45:24,Tbilisi,ae784bef73,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0088,5401,2062,179,80.0,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
6,6,10-03-2020 00:45:24,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,5,нет,Тбилиси,1 гр,0.0141,9452,3609,314,140.0,,,,,,,,NZT-52 mind storm limited 1g muka
7,7,10-03-2020 00:45:24,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0211,13436,5130,446,199.0,,,,,,,,VHQ BEST Cocaine 1g.
8,8,10-03-2020 00:45:24,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0207,12761,4872,423,189.0,,,,,,,,Kokain HQ 1g.
9,9,10-03-2020 00:45:24,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0198,12086,4615,401,179.0,True,,,,,,,Kokain KOLUMBIA 1g
