,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Vake,$,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,Дигоми,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,02-05-2020 23:49:45,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,1,нет,Тбилиси,0.3 гр,0.0088,2761,199,6000,,,,,,,,,,,,,0.3 a-pvp white
1,1,02-05-2020 23:49:45,Tbilisi,f25c0d6c5c,0.5 a-pvp white,True,3,нет,Тбилиси,0.5 гр,0.0117,3681,266,8000,,,,,,,,,,,,,0.5 a-pvp white
2,2,02-05-2020 23:49:45,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.0059,1496,133,4000,True,55.0,,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,02-05-2020 23:49:45,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.0029,734,65,1964,True,27.0,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,02-05-2020 23:49:45,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,3,нет,Тбилиси,0.5 гр,0.0031,789,70,2109,,29.0,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,02-05-2020 23:49:45,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,2,нет,Тбилиси,1 гр,0.0051,1306,116,3491,,48.0,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
6,6,02-05-2020 23:49:45,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,3,нет,Тбилиси,1 гр,0.0051,1306,116,3491,,48.0,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
7,7,02-05-2020 23:49:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.025,6392,567,17091,,235.0,,,,,,,,,,,Cocaine Pure VHQ 1g
8,8,02-05-2020 23:49:45,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,4,нет,Тбилиси,1 гр,0.0059,1496,133,4000,,55.0,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
9,9,02-05-2020 23:49:45,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0253,6528,579,17454,,240.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
