,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Vake,Tbilisis Zgva,Авлобари,Varketili,Батуми,Центр,desc_en
45,45,27-07-2020 07:54:33,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.036000000000000004,25762,10106,859,310.0,True,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
46,46,27-07-2020 07:54:33,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,10,Тбилиси,4 гр,0.0397,28639,11208,956,,True,400.0,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
47,47,27-07-2020 07:54:33,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0248,17899,7005,597,,True,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
48,48,27-07-2020 07:54:33,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0268,19331,7565,645,,True,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
49,49,27-07-2020 07:54:33,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0273,19689,7706,657,,True,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
50,50,27-07-2020 07:54:33,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0238,17183,6725,574,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
51,51,27-07-2020 07:54:33,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0278,20047,7846,669,,True,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
52,52,27-07-2020 07:54:33,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0268,19331,7565,645,,True,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,27-07-2020 07:54:33,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0198,15680,6136,523,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,27-07-2020 07:54:33,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,6,Тбилиси,5 гр,0.0233,16825,6585,562,,True,235.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
55,55,27-07-2020 07:54:33,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0268,19331,7565,645,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
56,56,27-07-2020 07:54:33,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2394,190000,87429,6346,,True,,,,,,,,,,reagent 25i nbome. 5gr
57,57,27-07-2020 07:54:33,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2707,214792,84060,7169,,,3000.0,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,58,27-07-2020 07:54:33,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0232,16621,6520,554,200.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
59,59,27-07-2020 07:54:33,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0893,64438,25218,2151,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
