,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,30-05-2020 17:43:40,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,5,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,30-05-2020 17:43:40,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0169,11250,4301,383,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,30-05-2020 17:43:40,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,16,нет,Тбилиси,0.5 гр,0.0031,2052,784,70,29,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,30-05-2020 17:43:40,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0031,2052,784,70,29,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,30-05-2020 17:43:40,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0318,21155,8088,721,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,30-05-2020 17:43:40,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.086,63677,24345,2169,900,,,,,,,,,,,Metadon 1gr
6,30-05-2020 17:43:40,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,,4,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
7,30-05-2020 17:43:40,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,9,нет,Тбилиси,2 гр,0.0095,6297,2407,214,89,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,30-05-2020 17:43:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,3,нет,Тбилиси,2 гр,0.0494,33253,12714,1133,470,,,,,,,,,,,Cocaine Pure VHQ 2 g
9,30-05-2020 17:43:40,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
