,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-03-2020 07:39:24,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,6,нет,Тбилиси,0.25 гр,0.0215,14179,5277,470,210.0,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,09-03-2020 07:39:24,Tbilisi,8ec76151d3,Metadon VHQ 0.33,True,2,нет,Тбилиси,0.33 гр,0.0287,18905,7036,627,280.0,,,,,,,,,Metadon VHQ 0.33
2,2,09-03-2020 07:39:24,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,1,нет,Тбилиси,0.35 гр,0.0364,21606,8042,717,320.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
3,3,09-03-2020 07:39:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0107,6684,2488,222,99.0,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,09-03-2020 07:39:24,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0118,7359,2739,244,109.0,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,09-03-2020 07:39:24,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,27,нет,Тбилиси,1 гр,0.0041,2498,930,83,37.0,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
6,6,09-03-2020 07:39:24,Tbilisi,da96c34455,ALFA PVP 1g,True,3,нет,Тбилиси,1 гр,0.0158,9452,3518,314,140.0,,,,,,,,,ALFA PVP 1g
7,7,09-03-2020 07:39:24,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,7,нет,Тбилиси,1 гр,0.0169,10128,3770,336,150.0,,,,,,,,,Apvp VHQ 1g 24/7
8,8,09-03-2020 07:39:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0204,12761,4750,423,189.0,,,,,,,,,Cocaine Pure VHQ 1g
9,9,09-03-2020 07:39:24,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,11,нет,Тбилиси,1 гр,0.0143,9452,3518,314,140.0,,,,,,,,,NZT-52 mind storm limited 1g muka
10,10,09-03-2020 07:39:24,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,6,нет,Тбилиси,1 гр,0.0215,13436,5001,446,199.0,,,,,,,,,VHQ BEST Cocaine 1g.
11,11,09-03-2020 07:39:24,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0211,12761,4750,423,189.0,,,,,,,,,Kokain HQ 1g.
12,12,09-03-2020 07:39:24,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0202,12086,4498,401,179.0,,True,,,,,,,Kokain KOLUMBIA 1g
13,13,09-03-2020 07:39:24,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0922,60766,22617,2016,900.0,,,,,,,,,Metadon 1gr
14,14,09-03-2020 07:39:24,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,3,нет,Тбилиси,2 гр,0.0399,26332,9801,873,390.0,,,,,,,,,VHQ BEST Cocaine 2g.
15,15,09-03-2020 07:39:24,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,15,нет,Тбилиси,2 гр,0.0036,2363,880,78,35.0,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
16,16,09-03-2020 07:39:24,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,5,нет,Тбилиси,2 гр,0.040999999999999995,25589,9524,849,379.0,,,,,,,,,Kokain HQ 2g.
17,17,09-03-2020 07:39:24,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0119,7089,2639,235,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
18,18,09-03-2020 07:39:24,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0328,21606,8042,717,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,19,09-03-2020 07:39:24,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0453,28441,10688,944,,,,375.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
20,20,09-03-2020 07:39:24,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,5 гр,0.0199,11816,4398,392,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
21,21,09-03-2020 07:39:24,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,9,нет,Тбилиси,5 гр,0.0167,10128,3770,336,150.0,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
22,22,09-03-2020 07:39:24,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.08800000000000001,57998,21587,1924,859.0,,,,,,,,,VHQ BEST Cocaine 5g.
23,23,09-03-2020 07:39:24,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,1,нет,Тбилиси,5 гр,0.0314,19580,7288,649,290.0,,,,,,,,,🍃 5gr GAShISh 🍃
24,24,09-03-2020 07:39:24,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 8 штук +1 бонус ;),True,1,нет,Тбилиси,9 гр,0.0102,6752,2513,224,100.0,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 8 shtuk +1 bonus ;)
25,25,09-03-2020 07:39:24,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.0411,24644,9172,817,365.0,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
26,26,09-03-2020 07:39:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,3,нет,Тбилиси,10 гр,0.0301,18027,6710,598,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
27,27,09-03-2020 07:39:24,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0432,27007,10052,896,400.0,,,,,,,,,gashish evro 10g
28,28,09-03-2020 07:39:24,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.084,52461,19526,1740,777.0,,,,,,,,,Gashish Evro 20gr
29,29,09-03-2020 07:39:24,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,7,5,Тбилиси,0.27 гр,0.0307,18230,6785,605,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
30,30,09-03-2020 07:39:24,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.07400000000000001,43886,16335,1456,650.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
