,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Vake,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
19,19-04-2020 14:01:41,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
20,19-04-2020 14:01:41,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (Авлабври),True,1,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,,,,,,,,,,,,N booom 4 shtuki (Avlabvri)
21,19-04-2020 14:01:41,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (Темка),True,1,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,,,,,,,,,,,,N booom 4 shtuki (Temka)
22,19-04-2020 14:01:41,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,,,,,,,,,,,,N booom 4 shtuki (vazisubani)
23,19-04-2020 14:01:41,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (варкетили),,1,нет,Тбилиси,4 гр,0.0075,4067,1507,134,55,True,,,,,,,,,,,N booom 4 shtuki (varketili)
24,19-04-2020 14:01:41,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0272,14715,5453,487,199,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
25,19-04-2020 14:01:41,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0416,23662,8768,782,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
26,19-04-2020 14:01:41,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0402,22183,8220,734,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
27,19-04-2020 14:01:41,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0229,12497,4631,413,169,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
28,19-04-2020 14:01:41,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,5,нет,Тбилиси,5 гр,0.0182,9909,3672,328,134,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
29,19-04-2020 14:01:41,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,True,4,нет,Тбилиси,5 гр,0.024,12940,4795,428,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
30,19-04-2020 14:01:41,Tbilisi,U26MW,Skyhigh,SPECIAL FOR FUSHE HEROINE 6g,,1,нет,Тбилиси,6 гр,0.4215,230000,105835,7601,,,,,,True,,,,,,,SPECIAL FOR FUSHE HEROINE 6g
31,19-04-2020 14:01:41,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,1,нет,Тбилиси,10 гр,0.0283,15454,5727,511,209,,,,,,,,,,,,10 gr marijuana buds. -indica-
32,19-04-2020 14:01:41,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,нет,Тбилиси,10 гр,0.0136,7394,2740,245,100,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
33,19-04-2020 14:01:41,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.052,29578,10960,978,400,,,,,,,,,,,,gashish evro 10g
34,19-04-2020 14:01:41,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.101,57455,21290,1900,777,,,,,,,,,,,,Gashish Evro 20gr
35,19-04-2020 14:02:23,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1013,57455,21290,1900,777,,,,,,,,,,,,Gashish Evro 20gr
36,19-04-2020 14:02:23,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.247,147888,54800,4890,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,19-04-2020 14:02:23,Tbilisi,U26MW,Skyhigh,NEW MDMA 0.25 G MELKIE KRISTALI,,нет,2,Тбилиси,0.25 гр,0.0048,2588,959,86,35,,,,,,True,,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
38,19-04-2020 14:02:23,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3106,1151,103,42,,,,,,True,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
39,19-04-2020 14:02:23,Tbilisi,U26MW,Skyhigh,25i-nbome 1 piece 2.5mg SALE SALE,,нет,6,Тбилиси,1 гр,0.0019,1035,384,34,14,,,,,,True,,,,,,25i-nbome 1 piece 2.5mg SALE SALE
40,19-04-2020 14:02:23,Tbilisi,U26MW,Skyhigh,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,нет,3,Тбилиси,1 гр,0.0053,2884,1069,95,39,,,,,,True,,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
41,19-04-2020 14:02:23,Tbilisi,U26MW,Skyhigh,special for midi7i heroin 1 gramm,,нет,1,Тбилиси,1 гр,0.0309,18486,6850,611,250,,,,,,,True,,,,,special for midi7i heroin 1 gramm
42,19-04-2020 14:02:23,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0506,27285,10111,902,369,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,19-04-2020 14:02:23,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0809,43627,16166,1443,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,19-04-2020 14:02:23,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0543,29578,10960,978,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,19-04-2020 14:02:23,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0217,11831,4384,391,160,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
46,19-04-2020 14:02:23,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0747,40669,15070,1345,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,19-04-2020 14:02:23,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0231,12571,4658,416,170,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,19-04-2020 14:02:23,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.027,14715,5453,487,199,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,19-04-2020 14:02:23,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.027,14715,5453,487,199,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
