,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,20-02-2020 19:03:46,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0119,8286,3186,287,130,,,,,,,,,,,Metadon 0.15gr
1,20-02-2020 19:03:46,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0101,6374,2451,220,100,,,,,,,,,,,Iranian Black Heroin Old WHQ 0.25g
2,20-02-2020 19:03:46,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0165,11473,4412,397,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,20-02-2020 19:03:46,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.0212,13386,5147,463,210,True,,,,,,,,,,"methadone 0,29 gr"
4,20-02-2020 19:03:46,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,1,нет,Тбилиси,0.3 гр,0.0164,12111,4657,419,190,,,,,,,,,,,Metadon 0.30gr
5,20-02-2020 19:03:46,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,4,нет,Тбилиси,0.5 гр,0.0111,6948,2672,240,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,20-02-2020 19:03:46,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,9,нет,Тбилиси,0.5 гр,0.006,3761,1446,130,59,,,,,,,,,,,0.5 g. Ketamine
7,20-02-2020 19:03:46,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,4,нет,Тбилиси,0.5 гр,0.0029,1849,711,64,29,,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
8,20-02-2020 19:03:46,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,2,нет,Тбилиси,0.5 гр,0.0112,7012,2696,242,110,,,,,,,,,,,"Cocaine, 0.5 g"
9,20-02-2020 19:03:46,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0061,3824,1471,132,60,,,,,,,,,,,Ketamine 0.5g
10,20-02-2020 19:03:46,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0266,18485,7108,639,290,,,,,,,,,,,Metadon VHQ 0.5 24/7
11,20-02-2020 19:03:46,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,2,нет,Тбилиси,0.5 гр,0.0101,6310,2426,218,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
12,20-02-2020 19:03:46,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,3,нет,Тбилиси,0.5 гр,0.0028,1785,686,62,28,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
13,20-02-2020 19:03:46,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0105,6948,2672,240,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
14,20-02-2020 19:03:46,Tbilisi,AU2VI,growershop,Silver Haze | 90% sativa 10% indica | 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0026,1785,686,62,28,,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
