,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,07-06-2020 16:39:05,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0172,11695,4560,405,150.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,07-06-2020 16:39:05,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,7,нет,Тбилиси,1 гр,0.0312,20521,8028,712,,True,299.0,,,,,,,,1G --... BoLiVian Coke ...-- 1G
2,2,07-06-2020 16:39:05,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,8,нет,Тбилиси,1 гр,0.0047,3157,1235,110,,True,46.0,,,,,,,,Amsterdam weed sativa 1gr
3,3,07-06-2020 16:39:05,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,5,нет,Тбилиси,2 гр,0.0093,6108,2390,212,,True,89.0,,,,,,,,2 ECSTASY << PACO RABANNE >>
4,4,07-06-2020 16:39:05,Tbilisi,0dec0e1c48,2gr HYBRID buds,,10,нет,Тбилиси,2 гр,0.0091,6040,2363,210,,True,88.0,,,,,,,,2gr HYBRID buds
5,5,07-06-2020 16:39:05,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,3 гр,0.0124,8167,3195,283,,True,119.0,,,,,,,,3 ECSTASY << PACO RABANNE >>
6,6,07-06-2020 16:39:05,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,11,нет,Тбилиси,3 гр,0.009000000000000001,5971,2336,207,,True,87.0,,,,,,,,3 gr georgian weed. Package on magnet
7,7,07-06-2020 16:39:05,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,1,нет,Тбилиси,3 гр,0.0109,7206,2819,250,,True,105.0,,,,,,,,3x Extasy Duracell 223mg MDMA
8,8,07-06-2020 16:39:05,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0041,2677,1047,93,,,39.0,True,,,,,,,Marijuana Super Skunk leaves 3g plan
9,9,07-06-2020 16:39:05,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,2,нет,Тбилиси,5 гр,0.0143,9540,3732,331,,True,139.0,,,,,,,,5 gr georgian weed. Package on magnet
10,10,07-06-2020 16:39:05,Tbilisi,8528108b62,5g. марихуана шишки Critical,,3,нет,Тбилиси,5 гр,0.0225,16472,6444,571,,True,240.0,,,,,,,,5g. marihuana shishki Critical
11,11,07-06-2020 16:39:05,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,9,нет,Тбилиси,5 гр,0.0182,12011,4699,417,,True,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
12,12,07-06-2020 16:39:05,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,3,нет,Тбилиси,10 гр,0.0103,6863,2685,238,,,100.0,,True,,,,,,10 gr marihuana list'ja top gibrid
13,13,07-06-2020 16:39:05,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,4,нет,Тбилиси,10 гр,0.0014,961,376,33,,True,14.0,,,,,,,,GABAGAMA 10 shtuk
14,14,07-06-2020 16:39:05,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0469,34316,13425,1191,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
15,15,07-06-2020 16:39:05,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2082,137264,53700,4762,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,16,07-06-2020 16:39:05,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,3,Тбилиси,2 гр,0.0219,14413,5639,500,,True,210.0,,,,,,,,✨✨2gram. MDMA✨✨
17,17,07-06-2020 16:39:05,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,2,Тбилиси,2 гр,0.0384,25325,9908,879,,True,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
