,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Дигоми,Didube,Батуми,Центр,Кутаиси,desc_en
0,0,13-03-2020 08:20:07,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,10,нет,Тбилиси,0.12 гр,0.0159,8143,2934,258,110.0,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,13-03-2020 08:20:07,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,2,нет,Тбилиси,0.15 гр,0.0241,11104,4001,352,150.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
2,2,13-03-2020 08:20:07,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0274,14065,5067,446,190.0,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,13-03-2020 08:20:07,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,19,нет,Тбилиси,0.25 гр,0.028999999999999998,14065,5067,446,190.0,,,,,,,,,"Metadon VHQ 0,25"
4,4,13-03-2020 08:20:07,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0481,22208,8001,704,300.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,5,13-03-2020 08:20:07,Tbilisi,8ddca45a78,"0,5g AFGHANI Indica THC 18% / BTC -5% sale",True,5,нет,Тбилиси,0.5 гр,0.0038,1851,667,59,25.0,,,,,,,,,"0,5g AFGHANI Indica THC 18% / BTC -5% sale"
6,6,13-03-2020 08:20:07,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0166,8069,2907,256,109.0,,,,,,,,,Pure COCAINE VHQ 0.5g
7,7,13-03-2020 08:20:07,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,8,нет,Тбилиси,0.5 гр,0.0159,7329,2640,232,99.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
8,8,13-03-2020 08:20:07,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0058,2961,1067,94,40.0,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
9,9,13-03-2020 08:20:07,Tbilisi,8ddca45a78,1g AMNESIA HAZE Sativa THC 20% / BTC -5% sale,True,3,нет,Тбилиси,1 гр,0.0061,2961,1067,94,40.0,,,,,,,,,1g AMNESIA HAZE Sativa THC 20% / BTC -5% sale
10,10,13-03-2020 08:20:07,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,5,нет,Тбилиси,1 гр,0.0153,7111,2554,225,,85.0,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
11,11,13-03-2020 08:20:07,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0164,7948,2855,251,,95.0,,,,,,,,1gr mdma (skidka v bitkoin 5%)
12,12,13-03-2020 08:20:07,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0202,10364,3734,329,140.0,,,,,,,,,ALFA PVP 1g
13,13,13-03-2020 08:20:07,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,13,нет,Тбилиси,1 гр,0.0238,11104,4001,352,150.0,,,,,,,,,Apvp VHQ 1g 24/7
14,14,13-03-2020 08:20:07,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0273,13251,4774,420,179.0,,,,,,,,,Cocaine Pure VHQ 1g
15,15,13-03-2020 08:20:07,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0079,3701,1334,117,50.0,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
16,16,13-03-2020 08:20:07,Tbilisi,ae784bef73,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0127,5922,2134,188,80.0,,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
17,17,13-03-2020 08:20:07,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0297,13991,5041,444,189.0,,,,,,,,,Kokain HQ 1g.
18,18,13-03-2020 08:20:07,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0284,13251,4774,420,179.0,,True,,,,,,,Kokain KOLUMBIA 1g
