,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,29-05-2020 19:03:12,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0101,7004,2678,239,99.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,1,29-05-2020 19:03:12,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,8,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100.0,True,,,,,,,,,Iranian Sirec 0.25g.
2,2,29-05-2020 19:03:12,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,12,нет,Тбилиси,0.5 гр,0.0168,11250,4301,384,159.0,True,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,29-05-2020 19:03:12,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,10,нет,Тбилиси,1 гр,0.0316,21155,8088,722,299.0,True,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,29-05-2020 19:03:12,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,2,нет,Тбилиси,1 гр,0.0054,3679,1407,126,52.0,True,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
5,5,29-05-2020 19:03:12,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0856,63677,24345,2172,900.0,True,,,,,,,,,Metadon 1gr
6,6,29-05-2020 19:03:12,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,True,10,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
7,7,29-05-2020 19:03:12,Tbilisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,2,нет,Тбилиси,3 гр,0.02,13797,5275,471,195.0,,True,,,,,,,,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
8,8,29-05-2020 19:03:12,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,9,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119.0,True,,,,,,,,,3 ECSTASY << PACO RABANNE >>
9,9,29-05-2020 19:03:12,Tbilisi,8528108b62,3g. марихуана шишки Critical,,2,нет,Тбилиси,3 гр,0.0143,10613,4058,362,150.0,True,,,,,,,,,3g. marihuana shishki Critical
10,10,29-05-2020 19:03:12,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,2,нет,Тбилиси,3 гр,0.0041,2759,1055,94,39.0,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
11,11,29-05-2020 19:03:12,Tbilisi,be97026d1d,!!Critical Kush 5g!! !!! BTC SALE 5% !!!,True,1,нет,Тбилиси,5 гр,0.0214,14787,5653,504,209.0,,,,,,,,,,!!Critical Kush 5g!! !!! BTC SALE 5% !!!
