,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,10-06-2020 22:32:58,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0144,10052,3922,346,129.0,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,10-06-2020 22:32:58,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,1,нет,Тбилиси,0.5 гр,0.0161,10910,4253,378,,True,159.0,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,10-06-2020 22:32:58,Tbilisi,16a8841259,Ak - 47 0.5г,,1,нет,Тбилиси,0.5 гр,0.003,2059,803,71,,True,30.0,,,,,,,Ak - 47 0.5g
3,3,10-06-2020 22:32:58,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,10,нет,Тбилиси,0.5 гр,0.0032,2196,856,76,,True,32.0,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,10-06-2020 22:32:58,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0243,16400,6393,568,,True,239.0,True,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
5,5,10-06-2020 22:32:58,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,3,нет,Тбилиси,1 гр,0.0111,7479,2916,259,,,109.0,True,True,,,,,✨ 1g. MDMA ✨
6,6,10-06-2020 22:32:58,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0085,5833,2274,202,,,85.0,,True,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
7,7,10-06-2020 22:32:58,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,25,нет,Тбилиси,3 гр,0.0087,5970,2327,207,,True,87.0,,,,,,,3 gr georgian weed. Package on magnet
8,8,10-06-2020 22:32:58,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0053,3774,1471,131,,True,55.0,,,,,,,Suboxene 4mg
9,9,10-06-2020 22:32:58,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,12,нет,Тбилиси,5 гр,0.013999999999999999,9538,3718,331,,True,139.0,,,,,,,5 gr georgian weed. Package on magnet
10,10,10-06-2020 22:32:58,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0219,16468,6420,571,,True,240.0,,,,,,,5g. marihuana shishki Critical
11,11,10-06-2020 22:32:58,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.013000000000000001,8852,3451,307,,,129.0,,,True,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
12,12,10-06-2020 22:32:58,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0178,12008,4681,416,,True,175.0,,,,,,,5x Extasy Duracell 223mg MDMA.
13,13,10-06-2020 22:32:58,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1141,80283,31298,2783,,True,1170.0,,,,,,,VHQ BEST Cocaine 5g.
14,14,10-06-2020 22:32:58,Tbilisi,83f3d55917,Химка !! 5 г %%5%% скидка новинка !!!!,,1,нет,Тбилиси,5 гр,0.0072,5146,2006,178,,,75.0,,True,,,,,Himka !! 5 g %%5%% skidka novinka !!!!
15,15,10-06-2020 22:32:58,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",,2,нет,Тбилиси,8 гр,0.0109,7411,2889,257,,,108.0,,True,,,,,"SUBOQSIN ""DNK"" 8ML"
16,16,10-06-2020 22:32:58,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,7,нет,Тбилиси,10 гр,0.026000000000000002,17772,6928,616,,True,259.0,,,,,,,10 gr georgian weed. Package on magnet
