,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Gldani,Дигоми,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,07-05-2020 17:11:35,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.0029,2001,729,66,27,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
1,07-05-2020 17:11:35,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,,1,нет,Тбилиси,1 гр,0.0058,4076,1485,135,55,True,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
2,07-05-2020 17:11:35,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,10,нет,Тбилиси,1 гр,0.0319,22161,8073,733,299,True,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,07-05-2020 17:11:35,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,2,нет,Тбилиси,1 гр,0.0058,4076,1485,135,55,,True,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
4,07-05-2020 17:11:35,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 1 Gr,,3,нет,Тбилиси,1 гр,0.0043,3039,1107,101,41,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
5,07-05-2020 17:11:35,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0864,66705,24300,2207,900,True,,,,,,,,,,,Metadon 1gr
6,07-05-2020 17:11:35,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0116,8079,2943,267,109,,,,,,,,,,,,✨ 1g. MDMA ✨
7,07-05-2020 17:11:35,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,1,нет,Тбилиси,1.5 гр,0.0067,5188,1890,172,70,,,True,,,,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
8,07-05-2020 17:11:35,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,2 гр,0.0095,6596,2403,218,89,True,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
9,07-05-2020 17:11:35,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,8,нет,Тбилиси,2 гр,0.0106,7412,2700,245,100,True,,,,,,,,,,,2 G Hybrid Marijuana Buds
10,07-05-2020 17:11:35,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0095,7338,2673,243,99,True,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,07-05-2020 17:11:35,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,,5,нет,Тбилиси,2 гр,0.0095,6596,2403,218,89,True,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
12,07-05-2020 17:11:35,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0105,7338,2673,243,99,True,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
13,07-05-2020 17:11:35,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,2 гр,0.0075,5188,1890,172,70,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
14,07-05-2020 17:11:35,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,2 гр,0.0094,6596,2403,218,89,,True,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
