,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,18-03-2020 08:00:42,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,8,нет,Тбилиси,0.25 гр,0.0305,14039,5510,450,190,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,18-03-2020 08:00:42,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0146,6650,2610,213,90,True,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,18-03-2020 08:00:42,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,,1,нет,Тбилиси,0.25 гр,0.028,14039,5510,450,190,True,,,,,,,,,Metadon VHQ 0.25 24/7
3,18-03-2020 08:00:42,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0372,16773,6583,537,227,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,18-03-2020 08:00:42,Tbilisi,V4T,COCAcoLA,COCAINE VHQ!!! 0.5gr THE BEST COCA,True,4,нет,Тбилиси,0.5 гр,0.0177,8054,3161,258,109,,,,,,,,,,COCAINE VHQ!!! 0.5gr THE BEST COCA
5,18-03-2020 08:00:42,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0154,7315,2871,234,99,True,,,,,,,,,Cocaine Pure VHQ 0.5g
6,18-03-2020 08:00:42,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,20,нет,Тбилиси,0.5 гр,0.0117,5542,2175,178,75,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
7,18-03-2020 08:00:42,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",,3,нет,Тбилиси,0.5 гр,0.0162,7315,2871,234,99,True,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,18-03-2020 08:00:42,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,1 гр,0.0081,3694,1450,118,50,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,18-03-2020 08:00:42,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,9,нет,Тбилиси,1 гр,0.0195,8867,3480,284,120,True,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
10,18-03-2020 08:00:42,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,,2,нет,Тбилиси,1 гр,0.0146,6650,2610,213,90,True,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
11,18-03-2020 08:00:42,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",,7,нет,Тбилиси,1 гр,0.0162,7389,2900,237,100,True,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
12,18-03-2020 08:00:42,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.0081,3694,1450,118,50,True,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
13,18-03-2020 08:00:42,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),True,3,нет,Тбилиси,1 гр,0.0187,8867,3480,284,120,,,,,,,,,,1g MDMA (IMPORTED)
14,18-03-2020 08:00:42,Tbilisi,V4T,COCAcoLA,COCAINE VHQ1gr СУПЕР COCA!!! SALE - BTC,True,5,нет,Тбилиси,1 гр,0.0325,14778,5800,473,200,,,,,,,,,,COCAINE VHQ1gr SUPER COCA!!! SALE - BTC
15,18-03-2020 08:00:42,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,5,нет,Тбилиси,1 гр,0.0279,13226,5191,424,179,True,,,,,,,,,Cocaine Pure VHQ 1g
16,18-03-2020 08:00:42,Tbilisi,X4ZM,ZYX,Gorilla Glue! 1G ! NEW !,,2,нет,Тбилиси,1 гр,0.007,3177,1247,102,43,True,,,,,,,,,Gorilla Glue! 1G ! NEW !
17,18-03-2020 08:00:42,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,4,нет,Тбилиси,1 гр,0.0811,40639,15950,1302,550,True,,,,,,,,,Metadon VHQ 1 24/7
18,18-03-2020 08:00:42,Tbilisi,X4ZM,ZYX,NEW ! Super Skunk ! NEW ! BUDS ! 1G,,7,нет,Тбилиси,1 гр,0.0078,3547,1392,114,48,True,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
