,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-04-2020 11:10:09,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0059,3226,1206,108,44.0,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
1,1,15-04-2020 11:10:09,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0067,4032,1507,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
2,2,15-04-2020 11:10:09,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0052,2859,1069,96,39.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,3,15-04-2020 11:10:09,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0074,4032,1507,135,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
4,4,15-04-2020 11:10:09,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,13,нет,Тбилиси,1 гр,0.0052,2859,1069,96,39.0,True,True,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
5,5,15-04-2020 11:10:09,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,4,нет,Тбилиси,1 гр,0.0062,3372,1260,113,46.0,,,True,,,,,,,,,1 g.Super Skunk top class buds! Indica
6,6,15-04-2020 11:10:09,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,,8,нет,Тбилиси,1 гр,0.0027,1466,548,49,20.0,True,,,,,,,,,,,1 gr listja plus galovki marihuana
7,7,15-04-2020 11:10:09,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,6,нет,Тбилиси,1 гр,0.0297,16056,6001,537,219.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,8,15-04-2020 11:10:09,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,1,нет,Тбилиси,1 гр,0.0074,4032,1507,135,55.0,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,9,15-04-2020 11:10:09,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,16,нет,Тбилиси,1 гр,0.0026,1442,541,48,,,,True,18.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
10,10,15-04-2020 11:10:09,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0251,13857,5179,464,189.0,,,,,,,,,,,,Kokain HQ 1g.
11,11,15-04-2020 11:10:09,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1098,65984,24660,2208,900.0,,,,,,,,,,,,Metadon 1gr
12,12,15-04-2020 11:10:09,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0024,1466,548,49,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
13,13,15-04-2020 11:10:09,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 1 через БИТКОИН !!!,True,8,нет,Тбилиси,1.1 гр,0.0051,2786,1041,93,38.0,,,,,True,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 1 cherez BITKOIN !!!
14,14,15-04-2020 11:10:09,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,2 гр,0.0101,5499,2055,184,75.0,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,15,15-04-2020 11:10:09,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,2 гр,0.0122,7332,2740,245,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,16,15-04-2020 11:10:09,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0107,5792,2165,194,79.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
17,17,15-04-2020 11:10:09,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,4,нет,Тбилиси,2 гр,0.0063,3446,1288,115,47.0,,,,,,,,,,,,2gr Indica dominant Buds
