,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Gldani,€,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-03-2020 17:49:43,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,14,нет,Тбилиси,0.12 гр,0.0144,8143,2926,255,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,12-03-2020 17:49:43,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,2,нет,Тбилиси,0.15 гр,0.0218,11104,3990,347,150.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
2,2,12-03-2020 17:49:43,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0274,15546,5586,486,210.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,12-03-2020 17:49:43,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,19,нет,Тбилиси,0.25 гр,0.0262,14065,5054,440,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
4,4,12-03-2020 17:49:43,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0435,22208,7980,694,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,5,12-03-2020 17:49:43,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,1,нет,Тбилиси,0.33 гр,0.009000000000000001,4812,1729,150,65.0,,,,,,,,,,,"A PVP 0,33 VHQ"
6,6,12-03-2020 17:49:43,Tbilisi,7fa257ac43,0.35gr ALFA PVP GREEN,True,9,нет,Тбилиси,0.35 гр,0.0101,5182,1862,162,70.0,,,,,,,,,,,0.35gr ALFA PVP GREEN
7,7,12-03-2020 17:49:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0136,7329,2633,229,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
8,8,12-03-2020 17:49:43,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,8,нет,Тбилиси,0.5 гр,0.0144,7329,2633,229,99.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
9,9,12-03-2020 17:49:43,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0056,2887,1037,90,39.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
10,10,12-03-2020 17:49:43,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0215,11104,3990,347,150.0,,,,,,,,,,,Apvp VHQ 1g 24/7
