,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Old Tbilisi (Старый город),Gldani,Varketili,Vake,Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
0,0,23-04-2020 10:47:43,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0191,10401,3679,337,135.0,,,,,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,23-04-2020 10:47:43,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,6,нет,Тбилиси,1 гр,0.006999999999999999,4237,1499,137,55.0,True,,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
2,2,23-04-2020 10:47:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0332,18490,6540,599,240.0,,,,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
3,3,23-04-2020 10:47:43,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1144,69337,24525,2245,900.0,,,,,,,,,,,,,,,,Metadon 1gr
4,4,23-04-2020 10:47:43,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0127,7704,2725,249,100.0,True,,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
5,5,23-04-2020 10:47:43,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0112,6086,2153,197,79.0,,,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,6,23-04-2020 10:47:43,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,1,нет,Тбилиси,2 гр,0.0099,5393,1908,175,70.0,,,,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
7,7,23-04-2020 10:47:43,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0119,6549,2316,212,85.0,,True,,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
8,8,23-04-2020 10:47:43,Tbilisi,54915c4374,Марки Н-ВоооооМ!!!! 3 штуки,,1,нет,Тбилиси,3 гр,0.0069,3775,1335,122,49.0,,,True,,,,,,,,,,,,,Marki N-VoooooM!!!! 3 shtuki
9,9,23-04-2020 10:47:43,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0077,4237,1499,137,55.0,,,,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
10,10,23-04-2020 10:47:43,Tbilisi,54915c4374,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0077,4237,1499,137,55.0,,,,,,,,,,,,,,,,N booom 4 shtuki (vazisubani)
11,11,23-04-2020 10:47:43,Tbilisi,54915c4374,Н бооом 4 штуки (глдани),,2,нет,Тбилиси,4 гр,0.0077,4237,1499,137,55.0,,,,True,,,,,,,,,,,,N booom 4 shtuki (gldani)
12,12,23-04-2020 10:47:43,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0429,24653,8720,798,320.0,,,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
13,13,23-04-2020 10:47:43,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0415,23112,8175,748,300.0,,,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
