,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Gldani,Didube,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
10,10,17-06-2020 21:58:03,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0087,5906,2287,202,,,True,85.0,,,True,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
11,11,17-06-2020 21:58:03,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,1,нет,Тбилиси,3 гр,0.0089,6045,2340,207,,True,,87.0,,,,,,,,,3 gr georgian weed. Package on magnet
12,12,17-06-2020 21:58:03,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,11,нет,Тбилиси,3 гр,0.0071,4794,1856,164,,True,,69.0,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
13,13,17-06-2020 21:58:03,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,2,нет,Тбилиси,3 гр,0.0119,7990,3094,273,,,True,115.0,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
14,14,17-06-2020 21:58:03,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.0132,8963,3470,307,,True,,129.0,,,,,,,,,5 gr georgian weed. Package on magnet
15,15,17-06-2020 21:58:03,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0223,16676,6456,570,,True,,240.0,,,,,,,,,5g. marihuana shishki Critical
16,16,17-06-2020 21:58:03,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0181,12159,4708,416,,True,,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
17,17,17-06-2020 21:58:03,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,14,нет,Тбилиси,5 гр,0.0101,6879,2663,235,,True,,99.0,,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
18,18,17-06-2020 21:58:03,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,2,9,Тбилиси,5 гр,0.0196,13202,5111,452,,True,True,190.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
19,19,17-06-2020 21:58:03,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0245,16606,6429,568,,True,,239.0,,,,,,,,,10 gr georgian weed. Package on magnet
20,20,17-06-2020 21:58:03,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,2,нет,Тбилиси,10 гр,0.0014,973,377,33,,True,,14.0,,,,,,,,,GABAGAMA 10 shtuk
21,21,17-06-2020 21:58:03,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,10 гр,0.0204,13827,5353,473,,True,,199.0,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
22,22,17-06-2020 21:58:03,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,9,нет,Тбилиси,10 гр,0.0079,5906,2287,202,,True,,85.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
23,23,17-06-2020 21:58:03,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",,4,нет,Тбилиси,10 гр,0.0097,6531,2529,223,,True,,94.0,,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
24,24,17-06-2020 21:58:03,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0064,4516,1749,154,,,,65.0,,,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
25,25,17-06-2020 21:58:03,Tbilisi,7bd1a5deba,11 - GRAMM BEASTWEED,,3,нет,Тбилиси,11 гр,0.0186,13896,5380,475,,True,,200.0,,,,,,,,,11 - GRAMM BEASTWEED
26,26,17-06-2020 21:58:03,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0465,34741,13450,1188,,True,,500.0,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
27,27,17-06-2020 21:58:03,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2066,138964,53800,4753,,True,,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
28,28,17-06-2020 21:58:03,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,нет,20,Тбилиси,1 гр,0.0358,24319,9415,832,,True,,350.0,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
29,29,17-06-2020 21:58:03,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0382,25639,9926,877,,True,,369.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,17-06-2020 21:58:03,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,5,Тбилиси,3 гр,0.0599,40230,15575,1376,,True,,579.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,31,17-06-2020 21:58:03,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0409,27793,10760,951,,True,,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,17-06-2020 21:58:03,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0563,38215,14795,1307,,True,,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,33,17-06-2020 21:58:03,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0241,16328,6322,558,,True,,235.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
34,34,17-06-2020 21:59:00,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0246,16676,6456,570,,True,,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
35,35,17-06-2020 21:59:00,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0235,15981,6187,547,,True,,230.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
36,36,17-06-2020 21:59:00,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16676,6456,570,,True,,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,37,17-06-2020 21:59:00,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0246,16676,6456,570,,True,,240.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,38,17-06-2020 21:59:00,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15981,6187,547,,True,,230.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,39,17-06-2020 21:59:00,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15217,5891,520,,True,,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,40,17-06-2020 21:59:00,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0241,16328,6322,558,,True,,235.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
41,41,17-06-2020 21:59:00,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2545,190000,87429,6473,,True,,,,,,,,,,,reagent 25i nbome. 5gr
42,42,17-06-2020 21:59:00,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2792,208447,80700,7129,,,,3000.0,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,43,17-06-2020 21:59:00,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0992,66633,25797,2279,,True,,959.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,44,17-06-2020 21:59:00,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0506,33977,13154,1162,,True,,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
45,45,17-06-2020 21:59:00,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0921,62534,24210,2139,,True,,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,46,17-06-2020 21:59:00,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0409,27793,10760,951,,True,,400.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
47,47,17-06-2020 21:59:00,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0717,48638,18830,1663,,True,,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,48,17-06-2020 21:59:00,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.043,29183,11298,998,,True,,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,49,17-06-2020 21:59:00,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0819,55586,21520,1901,,True,,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
50,50,17-06-2020 21:59:00,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2278,154598,59853,5287,,True,,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
51,51,17-06-2020 21:59:00,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1612,108323,41937,3705,,True,,1559.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,52,17-06-2020 21:59:00,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0816,54821,21224,1875,,True,,789.0,,,,,,,,,💘✨10gram MDMA ✨💘
53,53,17-06-2020 21:59:00,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0382,25639,9926,877,,True,,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,54,17-06-2020 21:59:00,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0454,30569,11837,1050,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,55,17-06-2020 21:59:00,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1396,104223,40350,3564,,True,,1500.0,,,,,,,,,✨💘20g MDMA💘✨
56,56,17-06-2020 21:59:00,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0619,41620,16113,1423,,True,,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
57,57,17-06-2020 21:59:00,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.133,90257,34943,3087,,True,,1299.0,,,,,,,,,50 gr georgian weed. Package on magnet
58,58,17-06-2020 21:59:00,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2558,173636,67223,5938,,True,,2499.0,,,,,,,,,100 gr georgian weed. Package on magnet
59,59,17-06-2020 21:59:00,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2457,166757,64560,5703,,True,,2400.0,,,,,,,,,100 gr marijuana buds
60,60,17-06-2020 21:59:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2047,138964,53800,4753,,True,,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
61,61,17-06-2020 21:59:00,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2559,173706,67250,5941,,True,,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,62,17-06-2020 21:59:00,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,нет,2,Тбилиси,150 гр,0.0189,12854,4977,440,,True,,185.0,,,,,,,,,GABAGAMA 150 shtuk
63,63,17-06-2020 21:59:00,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.604,409945,158710,14020,,True,,5900.0,,,,,,,,,180 gr marihuana persoalno
64,64,17-06-2020 21:59:00,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.439,295299,114325,10099,,True,,4250.0,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
65,65,17-06-2020 21:59:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4709,319618,123740,10931,,True,,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,17-06-2020 21:59:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7678,521117,201750,17822,,True,,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,67,17-06-2020 21:59:00,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8701,590599,228650,20199,,True,,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,17-06-2020 21:59:00,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13896,5380,475,,True,,200.0,,,,,,,,,KURYER..500RUB.+BONUS
69,69,17-06-2020 21:59:38,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8714,590599,228650,20199,,True,,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,70,17-06-2020 21:59:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13896,5380,475,,True,,200.0,,,,,,,,,KURYER..500RUB.+BONUS
71,71,17-06-2020 21:59:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0205,13896,5380,475,,True,,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,72,17-06-2020 21:59:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5517,1042233,403500,35645,,True,,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,17-06-2020 22:01:39,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,2,нет,Батуми,5 гр,0.031,20845,8070,713,,,,300.0,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
74,74,17-06-2020 22:01:39,Batumi,f8a875c191,METADON - 025,,нет,4,Батуми,0.25 гр,0.0362,24319,9415,832,,,,350.0,,,,,,,True,,METADON - 025
75,75,17-06-2020 22:01:39,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,1,3,Батуми,10 гр,0.0431,29183,11298,998,,,,420.0,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
76,76,17-06-2020 22:01:39,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3849,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
77,77,17-06-2020 22:01:39,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.264,178900,82321,6094,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
78,78,17-06-2020 22:01:39,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6948,2690,238,,,,100.0,,,,,,,True,,kur'er v Batumi
79,79,17-06-2020 22:01:39,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17371,6725,594,,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
80,80,17-06-2020 22:01:39,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17371,6725,594,,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
81,81,17-06-2020 22:01:39,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0205,13896,5380,475,,,,200.0,,,,,,,True,,Kur'er Batumi na marihuanu
82,82,17-06-2020 22:01:39,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5517,1042233,403500,35645,,,,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
83,83,17-06-2020 22:01:39,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0513,34741,13450,1188,,,,500.0,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
