,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Varketili,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,24-05-2020 04:39:47,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,8,нет,Тбилиси,0.25 гр,0.0106,7188,2705,240,100.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,24-05-2020 04:39:47,Tbilisi,8ddca45a78,">>new<< 0,5G HINDU KUSH (Indica)",True,1,нет,Тбилиси,0.5 гр,0.0032,2156,812,72,30.0,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,2,24-05-2020 04:39:47,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.017,11429,4301,381,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,24-05-2020 04:39:47,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,3953,1488,132,55.0,True,,,,,,,,,,HQ Euro Hashish 0.5 g
4,4,24-05-2020 04:39:47,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29.0,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
5,5,24-05-2020 04:39:47,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29.0,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,6,24-05-2020 04:39:47,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0868,64692,24345,2159,900.0,,,,,,,,,,,Metadon 1gr
7,7,24-05-2020 04:39:47,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89.0,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
8,8,24-05-2020 04:39:47,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0504,34503,12984,1151,480.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
9,9,24-05-2020 04:39:47,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,1,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89.0,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
10,10,24-05-2020 04:39:47,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0112,7547,2840,252,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
11,11,24-05-2020 04:39:47,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,1,нет,Тбилиси,3 гр,0.0112,7547,2840,252,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
12,12,24-05-2020 04:39:47,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,8,нет,Тбилиси,5 гр,0.0147,9991,3760,333,139.0,True,,,True,,,,,,,5 gr georgian weed. Package on magnet
13,13,24-05-2020 04:39:47,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0126,8554,3219,285,119.0,True,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
14,14,24-05-2020 04:39:47,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0187,12579,4734,420,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
15,15,24-05-2020 04:39:47,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1183,82662,31108,2758,1150.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
16,16,24-05-2020 04:39:47,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,True,1,нет,Тбилиси,10 гр,0.0169,12579,4734,420,175.0,,,,,,,,,,,10 - GRAMM BEASTWEED
17,17,24-05-2020 04:39:47,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0463,32346,12173,1079,450.0,,,,,,,,,,,Gashish Evro 10gr
18,18,24-05-2020 04:39:47,Tbilisi,21e6be39fb,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,2,нет,Тбилиси,15 гр,0.0159,10782,4058,360,150.0,,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
19,19,24-05-2020 04:39:47,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0791,55851,21018,1864,777.0,,,,,,,,,,,Gashish Evro 20gr
20,20,24-05-2020 04:39:47,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1928,143761,54100,4797,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,24-05-2020 04:39:47,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13298,5004,444,185.0,,,,,,,,,,,GABAGAMA 150 shtuk
22,22,24-05-2020 04:39:47,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0104,7060,2651,236,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
23,23,24-05-2020 04:39:47,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.017,11501,4328,384,160.0,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
24,24,24-05-2020 04:39:47,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0347,25886,9719,864,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
25,25,24-05-2020 04:39:47,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0395,26524,9981,885,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
26,26,24-05-2020 04:39:47,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.062,41619,15662,1389,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,24-05-2020 04:39:47,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0424,28752,10820,959,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,24-05-2020 04:39:47,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0148,10063,3787,336,140.0,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
29,29,24-05-2020 04:39:47,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0583,39534,14878,1319,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,24-05-2020 04:39:47,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0249,16892,6357,564,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31,24-05-2020 04:39:47,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0255,17251,6492,576,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,32,24-05-2020 04:39:47,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0244,16533,6222,552,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,24-05-2020 04:39:47,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0169,11429,4301,381,159.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,24-05-2020 04:40:31,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,17251,6492,576,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,35,24-05-2020 04:40:31,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0254,17251,6492,576,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,36,24-05-2020 04:40:31,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0243,16533,6222,552,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
