,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Saburtalo,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,21-03-2020 22:05:20,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,2,нет,Тбилиси,0.12 гр,0.0146,8585,3091,282,110.0,,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,21-03-2020 22:05:20,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0132,7024,2529,230,90.0,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,21-03-2020 22:05:20,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,3,нет,Тбилиси,0.25 гр,0.0336,17950,6463,589,230.0,,,,,,,,,,,,"Metadon VHQ 0,25"
3,3,21-03-2020 22:05:20,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0369,19511,7025,640,250.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,4,21-03-2020 22:05:20,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,3,нет,Тбилиси,0.33 гр,0.0072,4208,1518,138,,50.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
5,5,21-03-2020 22:05:20,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,4,нет,Тбилиси,0.5 гр,0.0095,5073,1827,166,65.0,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
6,6,21-03-2020 22:05:20,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0585,31218,11240,1024,400.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
7,7,21-03-2020 22:05:20,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0168,9365,3372,307,120.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,21-03-2020 22:05:20,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.5 грамм,True,5,нет,Тбилиси,0.5 гр,0.0065,3787,1366,124,,45.0,,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.5 gramm
9,9,21-03-2020 22:05:20,Tbilisi,f4d1c31614,1g MDMA (IMPORTED),True,3,нет,Тбилиси,1 гр,0.0168,9365,3372,307,120.0,,,,,,,,,,,,1g MDMA (IMPORTED)
10,10,21-03-2020 22:05:20,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,2,нет,Тбилиси,1 гр,0.0067,3590,1293,118,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
11,11,21-03-2020 22:05:20,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0265,14750,5311,484,189.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
