,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
0,10-08-2020 09:34:24,Tbilisi,6P9R,RickNMorty,VHQ Methadon 0.25G Crystals imported,True,1,нет,Тбилиси,0.25 гр,0.0223,19514,7383,649,265,,,,,,,,,,,,VHQ Methadon 0.25G Crystals imported
1,10-08-2020 09:34:24,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец из Ирана 0.3гр,True,7,нет,Тбилиси,0.3 гр,0.0079,7216,2730,240,98,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
2,10-08-2020 09:34:24,Tbilisi,OX85,amnesia420,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,2,нет,Тбилиси,0.5 гр,0.0024,2136,808,71,29,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
3,10-08-2020 09:34:24,Tbilisi,9Y6T,WeedShop,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?,True,1,нет,Тбилиси,0.5 гр,0.0022,1915,724,64,26,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?
4,10-08-2020 09:34:24,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0028,2430,919,81,33,,,,,,,,,,,,0.5 gr HYBRID buds
5,10-08-2020 09:34:24,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,0.5 гр,0.0027,2356,892,78,32,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
6,10-08-2020 09:34:24,Tbilisi,7R3WM,RastaShop,0.5 gr. Magic Kush IMPORT (INDICA),,1,нет,Тбилиси,0.5 гр,0.0026,2283,864,76,31,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
7,10-08-2020 09:34:24,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),True,22,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
8,10-08-2020 09:34:24,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0025,2209,836,73,30,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
9,10-08-2020 09:34:24,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,10-08-2020 09:34:24,Tbilisi,I7IU,MrPickless,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,1,нет,Тбилиси,0.5 гр,0.0018,1620,613,54,22,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
11,10-08-2020 09:34:24,Tbilisi,9Y6T,WeedShop,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,5,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
12,10-08-2020 09:34:24,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,16,нет,Тбилиси,1 гр,0.005,4345,1644,144,59,,,,,,,,,,,,1 G Hybrid Marijuana Buds
13,10-08-2020 09:34:24,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.005,4418,1672,147,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
