,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Дигоми,Vake,Nadzaladevi,Авлобари,Батуми,Центр,desc_en
0,0,15-06-2020 05:13:37,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0147,10129,3922,347,129.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,15-06-2020 05:13:37,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,4,нет,Тбилиси,0.25 гр,0.0123,8295,3228,285,,True,120.0,,,,,,,,Iranian Sirec 0.25g.
2,2,15-06-2020 05:13:37,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0033,2212,861,76,,True,32.0,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,15-06-2020 05:13:37,Tbilisi,52fe6d0af9,VHQ Hibryd Photo Strains(Sativa) High THC 26%+ 0.5G,,7,нет,Тбилиси,0.5 гр,0.0036,2419,942,83,,,35.0,True,,,,,,,VHQ Hibryd Photo Strains(Sativa) High THC 26%+ 0.5G
4,4,15-06-2020 05:13:37,Tbilisi,4a91350669,1 г шишки марихуана индика тгк 21% VHQ,,20,нет,Тбилиси,1 гр,0.0041,2765,1076,95,,,40.0,,True,,,,,,1 g shishki marihuana indika tgk 21% VHQ
5,5,15-06-2020 05:13:37,Tbilisi,54915c4374,Геройн (сирец) 1 гр,,1,нет,Тбилиси,1 гр,0.0323,21773,8474,749,,,315.0,,,True,,,,,Gerojn (sirets) 1 gr
6,6,15-06-2020 05:13:37,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0087,5875,2287,202,,,85.0,,,True,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
7,7,15-06-2020 05:13:37,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,4,нет,Тбилиси,3 гр,0.0071,4769,1856,164,,True,69.0,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
8,8,15-06-2020 05:13:37,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,4 гр,0.0143,9677,3766,333,,,140.0,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
9,9,15-06-2020 05:13:37,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,10,нет,Тбилиси,5 гр,0.0101,6843,2663,235,,True,99.0,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
