,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,17-07-2020 18:03:24,Tbilisi,21de5577be,0.5 gr. Magic Kush (INDICA),True,2,нет,Тбилиси,0.5 гр,0.0033,2223,854,74,31.0,,,,,,,,,,,,0.5 gr. Magic Kush (INDICA)
1,1,17-07-2020 18:03:24,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,10,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,True,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,2,17-07-2020 18:03:24,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0062,4231,1625,142,59.0,,True,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,17-07-2020 18:03:24,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,12,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,True,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
4,4,17-07-2020 18:03:24,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,1 гр,0.0062,4231,1625,142,59.0,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
5,5,17-07-2020 18:03:24,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,6,17-07-2020 18:03:24,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,12,нет,Тбилиси,1 гр,0.0062,4231,1625,142,59.0,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,7,17-07-2020 18:03:24,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,1 гр,0.0062,4231,1625,142,59.0,True,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
8,8,17-07-2020 18:03:24,Tbilisi,21de5577be,1.0 gr. Magic Kush (INDICA),True,9,нет,Тбилиси,1 гр,0.0055,3729,1433,125,52.0,,,,,,,,,,,,1.0 gr. Magic Kush (INDICA)
9,9,17-07-2020 18:03:24,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,5,нет,Тбилиси,1 гр,0.0053,3586,1378,120,50.0,True,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
10,10,17-07-2020 18:03:24,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,2,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,True,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
11,11,17-07-2020 18:03:24,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,1,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,True,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
