,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,25-02-2020 01:27:44,Tbilisi,8219f5e7b8,Ketamine 1g,True,1,нет,Тбилиси,1 гр,0.0101,6430,2451,221,100.0,,,,,,,,,,Ketamine 1g
24,24,25-02-2020 01:27:44,Tbilisi,366326d4d6,Ketamine 1g.,True,1,нет,Тбилиси,1 гр,0.009000000000000001,5723,2181,197,89.0,,,,,,,,,,Ketamine 1g.
25,25,25-02-2020 01:27:44,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,2,нет,Тбилиси,1 гр,0.0041,2572,980,88,40.0,,,,,,,,,,"LSD - 250 ug, 1piece"
26,26,25-02-2020 01:27:44,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,6,нет,Тбилиси,1 гр,0.0191,12796,4877,440,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
27,27,25-02-2020 01:27:44,Tbilisi,e8a987a33c,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0401,25720,9804,885,400.0,,,,,,,,,,"Metadon, 1gr"
28,28,25-02-2020 01:27:44,Tbilisi,7ee4f68218,🍃 1гр ГАШИШ 🍃,True,1,нет,Тбилиси,1 гр,0.0063,4180,1593,144,65.0,,,,,,,,,,🍃 1gr GAShISh 🍃
29,29,25-02-2020 01:27:44,Tbilisi,ae784bef73,MDMA 0.8g + ketamine 0.3g ! VHQ,True,1,нет,Тбилиси,1.1 гр,0.011000000000000001,7073,2696,243,110.0,,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ
30,30,25-02-2020 01:27:44,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0236,15111,5760,520,235.0,,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,31,25-02-2020 01:27:44,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.0073,4859,1857,167,,,,70.0,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
32,32,25-02-2020 01:28:34,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0064,4180,1593,144,65.0,True,,,,,,,,,2G -- AK-47 -> Sativa
33,33,25-02-2020 01:28:34,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.008,5080,1936,175,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
34,34,25-02-2020 01:28:34,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0364,23148,8824,796,360.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
35,35,25-02-2020 01:28:34,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0404,25720,9804,885,400.0,,,,,,,,,,"Cocaine, 2 g"
36,36,25-02-2020 01:28:34,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0342,22184,8456,763,345.0,True,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
37,37,25-02-2020 01:28:34,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0182,11574,4412,398,180.0,,,,,,,,,,Ketamine 2 g
