,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,09-06-2020 10:07:45,Tbilisi,8ddca45a78,"0,5g NORTHERN LIGHTS (Indica)",True,7,нет,Тбилиси,0.5 гр,0.003,2049,806,71,30.0,,,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
1,1,09-06-2020 10:07:45,Tbilisi,8ddca45a78,"0,5g SOUR DIESEL (Hybrid, Sativa)",True,9,нет,Тбилиси,0.5 гр,0.0032,2186,859,76,32.0,,,,,,,,,,"0,5g SOUR DIESEL (Hybrid, Sativa)"
2,2,09-06-2020 10:07:45,Tbilisi,2f51af8159,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,,13,нет,Тбилиси,0.5 гр,0.0032,2186,859,76,32.0,True,,,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
3,3,09-06-2020 10:07:45,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,11,нет,Тбилиси,0.5 гр,0.0032,2186,859,76,32.0,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,09-06-2020 10:07:45,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,2,нет,Тбилиси,1 гр,0.0047,3142,1235,109,46.0,,,,,,,,,,Amsterdam weed sativa 1gr
5,5,09-06-2020 10:07:45,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",True,2,нет,Тбилиси,1 гр,0.0051,3757,1477,131,55.0,,,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
6,6,09-06-2020 10:07:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0476,32107,12620,1115,470.0,,,,,,,,,,Cocaine Pure VHQ 2 g
7,7,09-06-2020 10:07:45,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,3 гр,0.0088,5943,2336,206,87.0,,,,,,,,,,3 gr georgian weed. Package on magnet
8,8,09-06-2020 10:07:45,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,5,нет,Тбилиси,5 гр,0.0141,9495,3732,330,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
9,9,09-06-2020 10:07:45,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0221,16395,6444,570,240.0,,,,,,,,,,5g. marihuana shishki Critical
10,10,09-06-2020 10:07:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,2,нет,Тбилиси,5 гр,0.1166,78559,30878,2729,1150.0,,,,,,,,,,Cocaine Pure VHQ 5g.
11,11,09-06-2020 10:07:45,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",,2,нет,Тбилиси,8 гр,0.0151,10179,4001,354,149.0,True,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
12,12,09-06-2020 10:07:45,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,10 гр,0.0263,17693,6954,615,259.0,,,,,,,,,,10 gr georgian weed. Package on magnet
13,13,09-06-2020 10:07:45,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,10 гр,0.0242,16327,6417,567,239.0,,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
14,14,09-06-2020 10:07:45,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0461,34156,13425,1187,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
15,15,09-06-2020 10:07:45,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,1,нет,Тбилиси,20 гр,0.0027,1981,779,69,29.0,,,,,,,,,,GABAGAMA 20 SHTUK
16,16,09-06-2020 10:07:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2046,136625,53700,4746,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
