,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Zahesi,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
24,24,05-07-2020 19:03:01,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0287,19035,7385,654,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
25,25,05-07-2020 19:03:01,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0297,19740,7658,678,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
26,26,05-07-2020 19:03:01,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0292,19387,7521,666,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
27,27,05-07-2020 19:03:01,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0255,16920,6564,581,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
28,28,05-07-2020 19:03:01,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0297,19740,7658,678,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
29,29,05-07-2020 19:03:01,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0287,19035,7385,654,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
30,30,05-07-2020 19:03:01,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15439,5990,530,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
31,31,05-07-2020 19:03:01,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0287,19035,7385,654,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
32,32,05-07-2020 19:03:01,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 5G A+++,True,нет,5,Тбилиси,5 гр,0.0531,35250,13675,1211,500.0,,,,,,,,,,VHQ MDMA Champagne Imported 5G A+++
33,33,05-07-2020 19:03:01,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2602,190000,87429,6528,,,,,,,,,,,reagent 25i nbome. 5gr
34,34,05-07-2020 19:05:08,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2897,211500,82050,7264,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
35,35,05-07-2020 19:05:08,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0956,63450,24615,2179,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
36,36,05-07-2020 19:05:08,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0584,38775,15043,1332,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
37,37,05-07-2020 19:05:08,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0743,49350,19145,1695,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,05-07-2020 19:05:08,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0446,29610,11487,1017,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,05-07-2020 19:05:08,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.085,56400,21880,1937,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,05-07-2020 19:05:08,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2363,156862,60854,5388,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
41,41,05-07-2020 19:05:08,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.047,30896,11934,1065,,,,,,,,390.0,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
42,42,05-07-2020 19:05:08,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2549,169200,65640,5811,2400.0,,,,,,,,,,100 gr marijuana buds
43,43,05-07-2020 19:05:08,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2655,176250,68375,6054,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
44,44,05-07-2020 19:05:08,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6266,415949,161365,14286,5900.0,,,,,,,,,,180 gr marihuana persoalno
45,45,05-07-2020 19:05:08,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9028,599249,232475,20582,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
46,46,05-07-2020 19:05:08,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14100,5470,484,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
47,47,05-07-2020 19:05:08,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0266,17625,6838,605,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
48,48,05-07-2020 19:05:08,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0212,14100,5470,484,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
49,49,05-07-2020 19:05:08,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0266,17625,6838,605,250.0,,,,,,,,,,Rabota na marki (kur'er)
50,50,05-07-2020 19:05:08,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6076,1057499,410250,36321,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
