,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Nadzaladevi,Didube,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-07-2020 17:58:55,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25,True,1,нет,Тбилиси,0.25 гр,0.0119,8027,3070,274,100.0,,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
1,1,11-07-2020 17:58:55,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0107,7224,2763,247,90.0,,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,11-07-2020 17:58:55,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,12,нет,Тбилиси,0.5 гр,0.0035,2351,899,80,,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
3,3,11-07-2020 17:58:55,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,2,нет,Тбилиси,0.5 гр,0.0028,1923,736,66,,27.0,True,,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,11-07-2020 17:58:55,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,15,нет,Тбилиси,0.5 гр,0.0034,2279,872,78,,32.0,,True,,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
5,5,11-07-2020 17:58:55,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,5,нет,Тбилиси,0.5 гр,0.0027,1781,681,61,,25.0,,,,,,,,,,,,Boshki OG Kush 05g.
6,6,11-07-2020 17:58:55,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,,5,нет,Тбилиси,0.5 гр,0.0037,2493,954,85,,35.0,,,True,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
7,7,11-07-2020 17:58:55,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,9,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35.0,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
8,8,11-07-2020 17:58:55,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60.0,,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
9,9,11-07-2020 17:58:55,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,10,11-07-2020 17:58:55,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
11,11,11-07-2020 17:58:55,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,59.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
12,12,11-07-2020 17:58:55,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,13,11-07-2020 17:58:55,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
14,14,11-07-2020 17:58:55,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,12,нет,Тбилиси,1 гр,0.006,4060,1553,139,,57.0,,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
15,15,11-07-2020 17:58:55,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,8,нет,Тбилиси,1 гр,0.0052,3490,1335,119,,49.0,,,,,,,,,,,,1gr HYBRID o.g
16,16,11-07-2020 17:58:55,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,,2,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,60.0,,,,True,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
17,17,11-07-2020 17:58:55,Tbilisi,fccfd69694,Бошки OG Kush 1g.,True,1,нет,Тбилиси,1 гр,0.0043,2849,1090,97,,40.0,,,,,,,,,,,,Boshki OG Kush 1g.
18,18,11-07-2020 17:58:55,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,4,нет,Тбилиси,1 гр,0.0072,4816,1842,165,60.0,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
19,19,11-07-2020 17:58:55,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0104,7052,2698,241,,99.0,,True,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
20,20,11-07-2020 17:58:55,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0115,7764,2970,265,,109.0,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
21,21,11-07-2020 17:58:55,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
22,22,11-07-2020 17:58:55,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,120.0,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
23,23,11-07-2020 17:58:55,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
24,24,11-07-2020 17:58:55,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,2 гр,0.0105,7123,2725,243,,100.0,,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
25,25,11-07-2020 17:58:55,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
26,26,11-07-2020 17:58:55,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,7,нет,Тбилиси,2 гр,0.0093,6268,2398,214,,88.0,,,,,,,,,,,,2gr HYBRID buds
27,27,11-07-2020 17:58:55,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0105,7835,2998,267,,110.0,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
28,28,11-07-2020 17:58:55,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0144,10684,4088,365,,150.0,,,,,,,,,,,,3g. marihuana shishki Critical
29,29,11-07-2020 17:58:55,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,13,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,55.0,,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
30,30,11-07-2020 17:58:55,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0056,3918,1499,134,,55.0,,True,,,,,,,,,,Suboxene 4mg
31,31,11-07-2020 17:58:55,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.023,17095,6540,583,,240.0,,,,,,,,,,,,5g. marihuana shishki Critical
32,32,11-07-2020 17:58:55,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.023,17095,6540,583,,240.0,,,,,,True,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
33,33,11-07-2020 17:58:55,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0242,16383,6268,559,,230.0,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
34,34,11-07-2020 17:58:55,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.046,32053,12263,1094,,450.0,,,,,,,,,,,,Gashish Evro 10gr
35,35,11-07-2020 17:59:40,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,2,нет,Тбилиси,11 гр,0.0172,12821,4905,437,,180.0,,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
36,36,11-07-2020 17:59:40,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0479,35615,13625,1215,,500.0,,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
37,37,11-07-2020 17:59:40,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4630,1771,158,,65.0,,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
38,38,11-07-2020 17:59:40,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.035,25999,9946,887,,365.0,,,,,,,,,,,,25 GGAMM NEW BEASTWEED
