,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,09-02-2020 03:32:36,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,1,нет,Тбилиси,0.15 гр,0.0116,8251,3211,283,130,,,,,,,,,,Metadon 0.15gr
1,09-02-2020 03:32:36,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.016,11425,4446,392,180,,,,,,,,,,Metadon VHQ 0.25 24/7
2,09-02-2020 03:32:36,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,8,нет,Тбилиси,0.29 гр,0.0206,13329,5187,457,210,True,,,,,,,,,"methadone 0,29 gr"
3,09-02-2020 03:32:36,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.016,12060,4693,413,190,,,,,,,,,,Metadon 0.30gr
4,09-02-2020 03:32:36,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.35g,True,1,нет,Тбилиси,0.35 гр,0.0176,11425,4446,392,180,,,,,,,,,,Methadone HQ in city 0.35g
5,09-02-2020 03:32:36,Tbilisi,7R3WM,RastaShop,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,10,нет,Тбилиси,0.5 гр,0.003,1968,766,67,31,,True,,,,,,,,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
6,09-02-2020 03:32:36,Tbilisi,Y7587,PVPStore,ALFA PVP in City 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0078,5078,1976,174,80,,,,,,,,,,ALFA PVP in City 0.5g
7,09-02-2020 03:32:36,Tbilisi,NLKH,STARS,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0048,3110,1210,107,49,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
8,09-02-2020 03:32:36,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0059,3808,1482,131,60,,,,,,,,,,Ketamine 0.5g
9,09-02-2020 03:32:36,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0267,19042,7410,653,300,,,,,,,,,,Metadon VHQ 0.5 24/7
10,09-02-2020 03:32:36,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,1,нет,Тбилиси,0.6 гр,0.0276,19676,7657,675,310,,,,,,,,,,Metadon 0.6gr
11,09-02-2020 03:32:36,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,7,нет,Тбилиси,0.8 гр,0.0118,7617,2964,261,120,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
12,09-02-2020 03:32:36,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.004,2856,1112,98,45,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
13,09-02-2020 03:32:36,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0118,7617,2964,261,120,,,,,,,,,,Apvp VHQ 1g 24/7
14,09-02-2020 03:32:36,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,10,нет,Тбилиси,1 гр,0.0099,6347,2470,218,100,,,,,,,,,,Ketamine 1g
15,09-02-2020 03:32:36,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,9,нет,Тбилиси,1 гр,0.0088,5649,2198,194,89,,,,,,,,,,Ketamine 1g.
16,09-02-2020 03:32:36,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0445,31736,12350,1088,500,,,,,,,,,,Metadon VHQ 1 24/7
17,09-02-2020 03:32:36,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0177,11361,4421,390,179,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
18,09-02-2020 03:32:36,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,6,нет,Тбилиси,1 гр,0.0116,8251,3211,283,130,,,,,,,,,,NZT-52 mind storm limited 1g muka
19,09-02-2020 03:32:36,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0141,9521,3705,326,150,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
20,09-02-2020 03:32:36,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0183,11996,4668,411,189,,,,,,,,,,Kokain HQ 1g.
21,09-02-2020 03:32:36,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0195,12631,4915,433,199,,,True,,,,,,,Kokain KOLUMBIA 1g
22,09-02-2020 03:32:36,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0441,28562,11115,979,450,,,,,,,,,,"Metadon, 1gr"
23,09-02-2020 03:32:36,Tbilisi,7R3WM,RastaShop,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,2 гр,0.0078,5078,1976,174,80,,True,,,,,,,,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
24,09-02-2020 03:32:36,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0356,22850,8892,783,360,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
25,09-02-2020 03:32:36,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,2,нет,Тбилиси,2 гр,0.037,24437,9510,838,385,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
26,09-02-2020 03:32:36,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0178,11425,4446,392,180,,,,,,,,,,Ketamine 2 g
27,09-02-2020 03:32:36,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0205,14599,5681,501,230,,,,,,,,,,NZT-52 mind storm limited 2g muka
28,09-02-2020 03:32:36,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0356,24056,9361,825,379,,,,,,,,,,Kokain HQ 2g.
29,09-02-2020 03:32:36,Tbilisi,NLKH,STARS,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,True,1,нет,Тбилиси,2.2 гр,0.0356,25389,9880,870,400,,,,,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
30,09-02-2020 03:32:36,Tbilisi,C7LQ,Scandal,"3 Grm Mdma , Purity A +++",True,2,нет,Тбилиси,3 гр,0.0196,13964,5434,479,220,,,,,,,,,,"3 Grm Mdma , Purity A +++"
31,09-02-2020 03:33:25,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0294,20946,8151,718,330,,,,,,,,,,NZT-52 mind storm limited 3g muka
32,09-02-2020 03:33:25,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0868,61830,24065,2119,,,,,888,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
33,09-02-2020 03:33:25,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0148,9521,3705,326,150,,,,,,,,,,"LSD - 250 ug, 5 pieces"
34,09-02-2020 03:33:25,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0197,13329,5187,457,210,,,,,,,,,,gashish evro 5g
35,09-02-2020 03:33:25,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0391,25325,9855,868,399,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
36,09-02-2020 03:33:25,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0376,25389,9880,870,400,,,,,,,,,,gashish evro 10g
37,09-02-2020 03:33:25,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,14,нет,Тбилиси,10 гр,0.0089,6347,2470,218,100,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
38,09-02-2020 03:33:25,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0904,116002,45149,3975,,,,,1666,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
39,09-02-2020 03:33:25,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0731,49318,19192,1691,777,,,,,,,,,,Gashish Evro 20gr
40,09-02-2020 03:33:25,Tbilisi,6ZR,Geogrowers,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1508,193359,75257,6625,,,,,2777,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
41,09-02-2020 03:33:25,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0247,15868,6175,544,250,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
42,09-02-2020 03:33:25,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0346,22215,8645,762,350,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
43,09-02-2020 03:33:25,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0594,38083,14820,1306,600,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
44,09-02-2020 03:33:25,Tbilisi,03F3,geoshop,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0216,13964,5434,479,220,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
45,09-02-2020 03:33:25,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0392,25389,9880,870,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,09-02-2020 03:33:25,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0235,15233,5928,522,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
47,09-02-2020 03:33:25,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0245,15868,6175,544,250,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,09-02-2020 03:33:25,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1336,95208,37050,3264,1500,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
49,09-02-2020 03:33:25,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0245,15868,6175,544,250,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
