,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Saburtalo,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,23-03-2020 09:00:36,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0135,7024,2529,230,90.0,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,23-03-2020 09:00:36,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,7,нет,Тбилиси,0.25 гр,0.0285,14828,5339,486,190.0,,,,,,,,,,,,"Metadon VHQ 0,25"
2,2,23-03-2020 09:00:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0142,7726,2782,253,99.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,23-03-2020 09:00:36,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,2,нет,Тбилиси,0.5 гр,0.0097,5073,1827,166,65.0,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
4,4,23-03-2020 09:00:36,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,2,нет,Тбилиси,0.5 гр,0.0599,31218,11240,1024,400.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
5,5,23-03-2020 09:00:36,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0172,9365,3372,307,120.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,23-03-2020 09:00:36,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.5 грамм,True,1,нет,Тбилиси,0.5 гр,0.0066,3787,1366,124,,45.0,,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.5 gramm
7,7,23-03-2020 09:00:36,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.006,3434,1236,113,44.0,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,8,23-03-2020 09:00:36,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,8,нет,Тбилиси,1 гр,0.0067,3512,1265,115,45.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,9,23-03-2020 09:00:36,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,9,нет,Тбилиси,1 гр,0.0066,3434,1236,113,44.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,23-03-2020 09:00:36,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0067,3512,1265,115,45.0,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
