,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,18-07-2020 03:41:30,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,True,1,нет,Тбилиси,0.5 гр,0.0069,4661,1797,156,65.0,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
1,1,18-07-2020 03:41:30,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,7,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,True,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,2,18-07-2020 03:41:30,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,11,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,3,18-07-2020 03:41:30,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
4,4,18-07-2020 03:41:30,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,10,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,5,18-07-2020 03:41:30,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,6,18-07-2020 03:41:30,Tbilisi,21de5577be,1.0 gr. Magic Kush (INDICA),,7,нет,Тбилиси,1 гр,0.0055,3729,1438,125,52.0,,True,,,,,,,,,,1.0 gr. Magic Kush (INDICA)
7,7,18-07-2020 03:41:30,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,1 гр,0.0053,3586,1383,120,50.0,,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
8,8,18-07-2020 03:41:30,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,9,18-07-2020 03:41:30,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,1,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,10,18-07-2020 03:41:30,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,3,нет,Тбилиси,1 гр,0.0073,4901,1887,164,,,,60.0,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
