,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,25-05-2020 13:15:09,Tbilisi,OX85,amnesia420,">>new<< 0,5G HINDU KUSH (Indica)",True,4,нет,Тбилиси,0.5 гр,0.0033,2156,812,72,30,,,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
1,25-05-2020 13:15:09,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,4,нет,Тбилиси,0.5 гр,0.0032,2085,784,70,29,True,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
2,25-05-2020 13:15:09,Tbilisi,OX85,amnesia420,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50,,,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
3,25-05-2020 13:15:09,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0259,16892,6357,564,235,,,,,,,,,,,,,Cocaine Pure VHQ 1g
4,25-05-2020 13:15:09,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0262,17251,6492,576,240,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
5,25-05-2020 13:15:09,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,1,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50,,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
6,25-05-2020 13:15:09,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0901,64692,24345,2159,900,,,,,,,,,,,,,Metadon 1gr
7,25-05-2020 13:15:09,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0097,6325,2380,211,88,,,,,,,,,,,,,2gr HYBRID buds
8,25-05-2020 13:15:09,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,6,нет,Тбилиси,3 гр,0.0143,9344,3517,312,130,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
9,25-05-2020 13:15:09,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0117,7547,2840,252,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
10,25-05-2020 13:15:09,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.0153,9991,3760,333,139,,,True,,,,,,,,,,5 gr georgian weed. Package on magnet
11,25-05-2020 13:15:09,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0131,8554,3219,285,119,,,True,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
12,25-05-2020 13:15:09,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,4,нет,Тбилиси,10 гр,0.0241,15742,5924,525,219,,,,True,,,,,,,,,10 gr georgian weed. Package on magnet
13,25-05-2020 13:15:09,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,10 гр,0.0219,14304,5383,477,199,,,,True,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
14,25-05-2020 13:15:09,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0481,32346,12173,1079,450,,,,,,,,,,,,,Gashish Evro 10gr
15,25-05-2020 13:15:09,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,2,11,Тбилиси,20 гр,0.0439,28680,10793,957,399,,,,True,,,,,,,,,20 gr georgian weed. Package on magnet
16,25-05-2020 13:15:09,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0821,55851,21018,1864,777,,,,,,,,,,,,,Gashish Evro 20gr
17,25-05-2020 13:15:09,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,1,нет,Тбилиси,50 гр,0.008,5750,2164,192,80,,,,,,,,,,,,,GABAGAMA 50 SHTUK
18,25-05-2020 13:15:09,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2002,143761,54100,4797,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,25-05-2020 13:15:09,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0185,13298,5004,444,185,,,,,,,,,,,,,GABAGAMA 150 shtuk
20,25-05-2020 13:15:09,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0108,7060,2651,236,,,,,,,90,,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
21,25-05-2020 13:15:09,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0361,25886,9719,864,,,,,,,330,,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
22,25-05-2020 13:15:09,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0234,15095,5681,504,210,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
23,25-05-2020 13:15:09,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.041,26524,9981,885,369,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
24,25-05-2020 13:15:09,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0644,41619,15662,1389,579,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25-05-2020 13:15:09,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0441,28752,10820,959,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,25-05-2020 13:15:09,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0154,10063,3787,336,140,,,,,,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
27,25-05-2020 13:15:09,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0606,39534,14878,1319,550,,,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
28,25-05-2020 13:15:09,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0606,39534,14878,1319,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,25-05-2020 13:15:09,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0259,16892,6357,564,235,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
30,25-05-2020 13:15:09,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0264,17251,6492,576,240,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
31,25-05-2020 13:15:09,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0253,16533,6222,552,230,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
32,25-05-2020 13:15:09,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0175,11429,4301,381,159,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
33,25-05-2020 13:15:09,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0264,17251,6492,576,240,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
34,25-05-2020 13:15:57,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0253,16533,6222,552,230,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
35,25-05-2020 13:15:57,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0219,15742,5924,525,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
36,25-05-2020 13:15:57,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0258,16892,6357,564,235,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
37,25-05-2020 13:15:57,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0275,17970,6763,600,250,,,,,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
38,25-05-2020 13:15:57,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2642,190000,87429,6351,,,,,,,,,,,,,,reagent 25i nbome. 5gr
39,25-05-2020 13:15:57,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2999,215641,81150,7196,3000,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,25-05-2020 13:15:57,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1065,68933,25941,2300,959,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,25-05-2020 13:15:57,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0211,13657,5140,456,190,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
42,25-05-2020 13:15:57,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0543,35150,13227,1173,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
43,25-05-2020 13:15:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.021,13585,5112,453,189,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
