,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Gldani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
22,19-05-2020 09:17:24,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.011,2809,256,7663,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
23,19-05-2020 09:17:24,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0183,4681,426,12771,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
24,19-05-2020 09:17:24,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1188,30763,2802,83927,1150,,,,,,,,,,Cocaine Pure VHQ 5g.
25,19-05-2020 09:17:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1152,30763,2802,83927,1150,,,,,,,,,,VHQ BEST Cocaine 5g.
26,19-05-2020 09:17:24,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1879,53500,4873,145960,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,19-05-2020 09:17:24,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0101,2606,237,7105,,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
28,19-05-2020 09:17:24,Tbilisi,A3I9,Joookerrr,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0083,2140,195,5838,80,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
29,19-05-2020 09:17:24,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,7,Тбилиси,0.5 гр,0.0078,2006,183,5473,75,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
30,19-05-2020 09:17:24,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0165,4280,390,11677,160,,,,,,,,,,"""Kief"" Weed trichomes 1G"
31,19-05-2020 09:17:24,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0385,9871,899,26930,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
32,19-05-2020 09:17:24,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0604,15488,1411,42255,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
33,19-05-2020 09:17:24,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0413,10700,975,29192,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,19-05-2020 09:18:03,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0145,3745,341,10217,140,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
35,19-05-2020 09:18:03,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0569,14713,1340,40139,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,19-05-2020 09:18:03,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0243,6286,573,17150,235,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,19-05-2020 09:18:03,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0248,6420,585,17515,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
38,19-05-2020 09:18:03,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0238,6153,560,16785,230,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,19-05-2020 09:18:03,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0164,4253,387,11604,159,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
