,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,23-03-2020 18:15:48,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,5,нет,Тбилиси,0.12 гр,0.0149,8897,3124,282,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,23-03-2020 18:15:48,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0134,7279,2556,230,90,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,23-03-2020 18:15:48,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,4,нет,Тбилиси,0.25 гр,0.0282,15367,5396,486,190,,,,,,,,,,"Metadon VHQ 0,25"
3,23-03-2020 18:15:48,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0141,8007,2812,253,99,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,23-03-2020 18:15:48,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,True,2,нет,Тбилиси,0.5 гр,0.0097,5257,1846,166,65,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,23-03-2020 18:15:48,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0595,32353,11360,1024,400,,,,,,,,,,Metadon VHQ 0.5 24/7
6,23-03-2020 18:15:48,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0171,9706,3408,307,120,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,23-03-2020 18:15:48,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0067,3640,1278,115,45,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,23-03-2020 18:15:48,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0074,4044,1420,128,50,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,23-03-2020 18:15:48,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,8,нет,Тбилиси,1 гр,0.0068,3721,1306,118,46,,,,,,,,,,Amsterdam weed sativa 1gr
10,23-03-2020 18:15:48,Tbilisi,UJP9,420Inc,Blue Cheese Auto 1G pressed buds(Hydro),True,1,нет,Тбилиси,1 гр,0.0066,3640,1278,115,45,,,,,,,,,,Blue Cheese Auto 1G pressed buds(Hydro)
11,23-03-2020 18:15:48,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.027,15287,5368,484,189,,,,,,,,,,Cocaine Pure VHQ 1g
12,23-03-2020 18:15:48,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0292,16581,5822,525,205,,,,,,,,,,VHQ BEST Cocaine 1g.
13,23-03-2020 18:15:48,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,2,нет,Тбилиси,1 гр,0.0031,1860,653,59,23,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
14,23-03-2020 18:15:48,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0266,14478,5084,458,179,True,,,,,,,,,Kokain KOLUMBIA 1g
15,23-03-2020 18:15:48,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1216,72793,25560,2303,900,,,,,,,,,,Metadon 1gr
16,23-03-2020 18:15:48,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,1,нет,Тбилиси,2 гр,0.0134,7279,2556,230,90,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
17,23-03-2020 18:15:48,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,2 гр,0.0142,8493,2982,269,105,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,23-03-2020 18:15:48,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,6,нет,Тбилиси,2 гр,0.0134,7279,2556,230,90,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
19,23-03-2020 18:15:48,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0119,6390,2244,202,79,,True,,,,,,,,2g super Skunk top class buds. Indica
20,23-03-2020 18:15:48,Tbilisi,8B31,Rastashop,2gr Indica dominant Buds,True,3,нет,Тбилиси,2 гр,0.0098,5338,1874,169,66,,,,,,,,,,2gr Indica dominant Buds
21,23-03-2020 18:15:48,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0487,29117,10224,921,360,,,,,,,,,,Cocaine Pure VHQ 2 g
22,23-03-2020 18:15:48,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0158,8493,2982,269,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
23,23-03-2020 18:15:48,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,9,нет,Тбилиси,3 гр,0.0053,2831,994,90,35,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
24,23-03-2020 18:15:48,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,7,нет,Тбилиси,3 гр,0.0065,3882,1363,123,48,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
25,23-03-2020 18:15:48,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0433,25882,9088,819,320,,,,,,,,,,"5 Grm MDMA , Purity A +++"
