,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
18,01-06-2020 14:30:49,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,True,1,нет,Тбилиси,7.5 гр,0.0292,19740,7533,672,279,,,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
19,01-06-2020 14:30:49,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,,14,нет,Тбилиси,10 гр,0.0106,7075,2700,241,100,True,,True,,,,,,,10 gr marihuana list'ja top gibrid
20,01-06-2020 14:30:49,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,,3,нет,Тбилиси,20 гр,0.0035,2547,972,87,36,True,,,,,,,,,GABAGAMA 20 SHTUK
21,01-06-2020 14:30:49,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0077,5660,2160,193,80,True,,,,,,,,,GABAGAMA 50 SHTUK
22,01-06-2020 14:30:49,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1921,141504,54000,4820,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,01-06-2020 14:30:49,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0178,13089,4995,446,185,True,,,,,,,,,GABAGAMA 150 shtuk
24,01-06-2020 14:30:49,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,,нет,9,Тбилиси,0.25 гр,0.0042,2830,1080,96,40,True,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
25,01-06-2020 14:30:49,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,,нет,5,Тбилиси,0.3 гр,0.0076,5306,2025,181,75,True,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
26,01-06-2020 14:30:49,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,,нет,50,Тбилиси,0.33 гр,0.0158,10613,4050,362,150,True,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
27,01-06-2020 14:30:49,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,,нет,20,Тбилиси,1 гр,0.038,25471,9720,868,360,True,,,,,,,,,Gerojn (sirets) 1 gr
28,01-06-2020 14:30:49,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0224,14858,5670,506,210,True,,,,,,,,,✨✨2gram. MDMA✨✨
29,01-06-2020 14:30:49,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0394,26107,9963,889,369,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,01-06-2020 14:30:49,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0618,40965,15633,1395,579,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,01-06-2020 14:30:49,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0423,28301,10800,964,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,01-06-2020 14:30:49,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,4 гр,0.0148,9905,3780,337,140,,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
33,01-06-2020 14:30:49,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.074,49526,18900,1687,700,True,,,,,,,,,"""Kief"" Weed trichomes 5G"
34,01-06-2020 14:31:41,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0254,16980,6480,578,240,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,01-06-2020 14:31:41,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0244,16273,6210,554,230,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,01-06-2020 14:31:41,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,15495,5913,528,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,01-06-2020 14:31:41,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0267,17688,6750,603,250,True,,,,,,,,,MARIXYANA - INDICA - 5 G.
38,01-06-2020 14:31:41,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0249,16627,6345,566,235,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,01-06-2020 14:31:41,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2585,190000,87429,6478,,True,,,,,,,,,reagent 25i nbome. 5gr
40,01-06-2020 14:31:41,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2888,212256,81000,7230,3000,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,01-06-2020 14:31:41,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1026,67851,25893,2311,959,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
42,01-06-2020 14:31:41,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0203,13443,5130,458,190,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,01-06-2020 14:31:41,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,1,Тбилиси,5 гр,0.0523,34598,13203,1178,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
