,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
20,05-03-2020 22:05:57,Tbilisi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Тбилиси,5 гр,0.0259,16546,6205,558,250,,,,True,,,,,,,Super Critical HIGHEST QUALITY 5G
21,05-03-2020 22:05:57,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0061,4302,1613,145,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
22,05-03-2020 22:05:57,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.0378,24158,9059,814,365,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
23,05-03-2020 22:05:57,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0398,26474,9928,892,400,,,,,,,,,,,gashish evro 10g
24,05-03-2020 22:05:57,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0773,51426,19285,1734,777,,,,,,,,,,,Gashish Evro 20gr
25,05-03-2020 22:05:57,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G,True,нет,5,Тбилиси,0.27 гр,0.0283,17870,6701,602,270,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G
26,05-03-2020 22:05:57,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.7g,True,нет,1,Тбилиси,0.7 гр,0.029,18532,6950,625,280,,,,,,,,,,,Methadone HQ in city 0.7g
27,05-03-2020 22:05:57,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.068,43021,16133,1450,650,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
28,05-03-2020 22:05:57,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,3,Тбилиси,2 гр,0.0173,11053,4145,373,167,,,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
29,05-03-2020 22:05:57,Tbilisi,SF03,CRAZYFROG,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,1,Тбилиси,2 гр,0.0171,12158,4584,411,,,,165,,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
30,05-03-2020 22:05:57,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 3.0g BTC SALE 5% SALE!!! SALE!!! (Место на ваш выбор!!!),True,нет,1,Тбилиси,3 гр,0.0544,34747,13031,1171,525,,,,,,,,,,,Columbia Cocaine VHQ 3.0g BTC SALE 5% SALE!!! SALE!!! (Mesto na vash vybor!!!)
31,05-03-2020 22:05:57,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0618,39049,14644,1316,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,05-03-2020 22:05:57,Tbilisi,9VLN,AlienShop,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,1,Тбилиси,3 гр,0.0178,12509,4691,422,189,,,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
33,05-03-2020 22:05:57,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0415,26474,9928,892,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,05-03-2020 22:05:57,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.057,36402,13651,1227,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,05-03-2020 22:06:34,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0197,12575,4716,424,190,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
36,05-03-2020 22:06:34,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0207,13171,4939,444,199,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
37,05-03-2020 22:06:34,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0208,13237,4964,446,200,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
38,05-03-2020 22:06:34,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0207,13171,4939,444,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
39,05-03-2020 22:06:34,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0207,13171,4939,444,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
40,05-03-2020 22:06:34,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0197,12575,4716,424,190,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,05-03-2020 22:06:34,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0207,14495,5436,489,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,05-03-2020 22:06:34,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0315,19856,7446,669,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
43,05-03-2020 22:06:34,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g BTC SALE 5%(Место на ваш выбор!!!),True,нет,2,Тбилиси,5 гр,0.041,26143,9804,881,395,,,,,,,,,,,MDMA from Europe!!! 5g BTC SALE 5%(Mesto na vash vybor!!!)
44,05-03-2020 22:06:34,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0197,12575,4716,424,190,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
45,05-03-2020 22:06:34,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0189,13237,4964,446,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
46,05-03-2020 22:06:34,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2709,190000,87429,6424,,,,,,,,,,,,reagent 25i nbome. 5gr
47,05-03-2020 22:06:34,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2831,198556,74460,6693,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0901,56853,21320,1917,859,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
49,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,1,5,Тбилиси,5 гр,0.0194,12244,4592,413,185,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0513,32365,12137,1091,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
51,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0345,21775,8166,734,329,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
52,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0189,11913,4468,402,180,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
53,05-03-2020 22:06:34,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0934,59567,22338,2008,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,05-03-2020 22:06:34,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0727,46330,17374,1562,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,05-03-2020 22:06:34,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0414,26408,9903,890,399,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,05-03-2020 22:06:34,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0367,23165,8687,781,350,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
57,05-03-2020 22:06:34,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.083,52948,19856,1785,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,05-03-2020 22:06:34,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.231,147263,55225,4964,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
59,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1519,95903,35964,3233,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0387,24422,9159,823,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0313,19789,7421,667,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
62,05-03-2020 22:06:34,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0734,46330,17374,1562,700,,,,,,,,,,,20x Extasy Duracell 223mg MDMA.
63,05-03-2020 22:06:34,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0628,39645,14867,1336,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
64,05-03-2020 22:06:34,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0697,46330,17374,1562,700,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
65,05-03-2020 22:06:34,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1132,79422,29784,2677,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
66,05-03-2020 22:06:34,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.0995,66119,24795,2229,999,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
67,05-03-2020 22:06:34,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2076,132371,49640,4462,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,05-03-2020 22:06:34,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2097,132371,49640,4462,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
69,05-03-2020 22:06:34,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2595,165464,62050,5578,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,05-03-2020 22:06:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4779,304453,114172,10263,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,05-03-2020 22:06:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7791,496391,186150,16733,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,05-03-2020 22:06:56,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.883,562576,210970,18964,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,05-03-2020 22:06:56,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0189,13237,4964,446,200,,,,,,,,,,,KURYER..500RUB.+BONUS
74,05-03-2020 22:06:56,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0189,13237,4964,446,200,,,,,,,,,,,Trebuetsja Kur'er
75,05-03-2020 22:06:56,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0142,9928,3723,335,150,,,,,,,,,,,Rabota na marki (kur'er)
76,05-03-2020 22:06:56,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0208,13237,4964,446,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,05-03-2020 22:06:56,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.026,16546,6205,558,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,05-03-2020 22:06:56,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5724,992781,372300,33467,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,05-03-2020 22:08:05,Batumi,XHR,420Factory,Power Africa 2.5 g,,1,нет,Батуми,2.5 гр,0.0099,6949,2606,234,105,,,,,,,,True,,,Power Africa 2.5 g
80,05-03-2020 22:08:05,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1556,99278,37230,3347,1500,,,,,,,,True,,,Skunk! 50 gr.
81,05-03-2020 22:08:05,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0283,17870,6701,602,270,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
82,05-03-2020 22:08:05,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0189,13237,4964,446,200,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
