,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
0,0,12-08-2020 21:53:30,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,28,нет,Тбилиси,0.3 гр,0.0065,5859,2220,197,80.0,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,12-08-2020 21:53:30,Tbilisi,7c395c455d,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,0.5 гр,0.0028,2417,916,81,33.0,,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
2,2,12-08-2020 21:53:30,Tbilisi,21de5577be,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,7,нет,Тбилиси,0.5 гр,0.0025,2197,833,74,30.0,True,,,,,,,,,,,,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
3,3,12-08-2020 21:53:30,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,4,нет,Тбилиси,0.5 гр,0.0019,1684,638,57,23.0,,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
4,4,12-08-2020 21:53:30,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0025,2197,833,74,30.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,5,12-08-2020 21:53:30,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,8,нет,Тбилиси,0.5 гр,0.0021,1831,694,61,25.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,6,12-08-2020 21:53:30,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.0046,4028,1526,135,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,12-08-2020 21:53:30,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0051,4394,1665,147,60.0,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,12-08-2020 21:53:30,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0051,4394,1665,147,60.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,9,12-08-2020 21:53:30,Tbilisi,21de5577be,1 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,3,нет,Тбилиси,1 гр,0.0044,3808,1443,128,52.0,True,,,,,,,,,,,,1 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
10,10,12-08-2020 21:53:30,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0045,3881,1471,130,53.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,11,12-08-2020 21:53:30,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.0046,4028,1526,135,55.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
