,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,06-03-2020 13:47:33,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0094,6552,2469,221,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,06-03-2020 13:47:33,Tbilisi,edfbad0151,VHQ MDMA Crystal Champagne 82% Pure 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0082,5229,1970,177,79.0,,,,,,,,,,,VHQ MDMA Crystal Champagne 82% Pure 0.5G
2,2,06-03-2020 13:47:33,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,6,нет,Тбилиси,1 гр,0.0052,3309,1247,112,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
3,3,06-03-2020 13:47:33,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0181,12575,4739,425,190.0,,,,,,,,,,,Cocaine Pure VHQ 1g
4,4,06-03-2020 13:47:33,Tbilisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5% (ПОДЪЕЗД!!!),,3,нет,Тбилиси,1 гр,0.0194,12244,4614,414,185.0,True,,,,,,,,,,Columbia Cocaine VHQ 1g BTC SALE 5% (POD'EZD!!!)
5,5,06-03-2020 13:47:33,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,5,нет,Тбилиси,1 гр,0.0186,12244,4614,414,185.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
6,6,06-03-2020 13:47:33,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0187,11847,4464,400,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
7,7,06-03-2020 13:47:33,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,4,нет,Тбилиси,1 гр,0.0019,1324,499,45,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
8,8,06-03-2020 13:47:33,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,2 гр,0.0094,5957,2245,201,90.0,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,9,06-03-2020 13:47:33,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0033,2316,873,78,35.0,,True,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
10,10,06-03-2020 13:47:33,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0381,25084,9452,847,379.0,,,,,,,,,,,Kokain HQ 2g.
11,11,06-03-2020 13:47:33,Tbilisi,7ee4f68218,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,3 гр,0.0112,7368,2809,249,,,,100.0,,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
12,12,06-03-2020 13:47:33,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0279,18421,7023,623,,,,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
13,13,06-03-2020 13:47:33,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,3,нет,Тбилиси,3 гр,0.0122,7611,2868,257,115.0,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
14,14,06-03-2020 13:47:33,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0304,21179,7981,715,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
15,15,06-03-2020 13:47:33,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0447,29474,11236,996,,,,400.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
16,16,06-03-2020 13:47:33,Tbilisi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,2,нет,Тбилиси,5 гр,0.0262,16546,6235,559,250.0,,,,True,,,,,,,Super Critical HIGHEST QUALITY 5G
17,17,06-03-2020 13:47:33,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0062,4302,1621,145,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
18,18,06-03-2020 13:47:33,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.0382,24158,9103,816,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
19,19,06-03-2020 13:47:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,4,нет,Тбилиси,10 гр,0.0279,17672,6659,597,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
20,20,06-03-2020 13:47:33,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0402,26474,9976,894,400.0,,,,,,,,,,,gashish evro 10g
21,21,06-03-2020 13:47:33,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.078,51426,19378,1737,777.0,,,,,,,,,,,Gashish Evro 20gr
22,22,06-03-2020 13:47:33,Tbilisi,be97026d1d,Columbia Cocaine VHQ 3.0g BTC SALE 5% SALE!!! SALE!!! (Место на ваш выбор!!!),True,нет,1,Тбилиси,3 гр,0.0549,34747,13094,1174,525.0,,,,,,,,,,,Columbia Cocaine VHQ 3.0g BTC SALE 5% SALE!!! SALE!!! (Mesto na vash vybor!!!)
23,23,06-03-2020 13:47:33,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0624,39049,14715,1319,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,06-03-2020 13:47:33,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,1,Тбилиси,3 гр,0.018000000000000002,12509,4714,423,189.0,,,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
25,25,06-03-2020 13:47:33,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0419,26474,9976,894,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,06-03-2020 13:47:33,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0576,36402,13717,1230,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,06-03-2020 13:47:33,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0199,12575,4739,425,190.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
28,28,06-03-2020 13:47:33,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0208,13171,4963,445,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
29,29,06-03-2020 13:47:33,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0209,13237,4988,447,200.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
