,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
41,41,13-05-2020 17:29:07,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2897,80700,7318,220746,,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,42,13-05-2020 17:29:07,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1029,25797,2339,70565,,959.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
43,43,13-05-2020 17:29:07,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0204,5111,463,13981,,190.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,44,13-05-2020 17:29:07,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0525,13154,1193,35982,,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
45,45,13-05-2020 17:29:07,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0203,5084,461,13907,,189.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
46,46,13-05-2020 17:29:07,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,5,Тбилиси,8 гр,0.0085,2152,195,5887,,80.0,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
47,47,13-05-2020 17:29:07,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0956,24210,2195,66224,,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,13-05-2020 17:29:07,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0425,10760,976,29433,,400.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,49,13-05-2020 17:29:07,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0744,18830,1707,51507,,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,13-05-2020 17:29:07,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0446,11298,1024,30904,,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
