,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Центр,Батуми,desc_en
0,03-08-2020 13:27:32,Tbilisi,6P9R,RickNMorty,VHQ Methadon 0.25G Crystals imported,True,4,нет,Тбилиси,0.25 гр,0.0224,18724,7104,622,255,,,,,,,,,,,,VHQ Methadon 0.25G Crystals imported
1,03-08-2020 13:27:32,Tbilisi,OX85,amnesia420,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
2,03-08-2020 13:27:32,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0025,2056,780,68,28,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,03-08-2020 13:27:32,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,5,нет,Тбилиси,0.5 гр,0.0029,2423,919,80,33,,,,,,,,,,,,0.5 gr HYBRID buds
4,03-08-2020 13:27:32,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,11,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
5,03-08-2020 13:27:32,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),True,6,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
6,03-08-2020 13:27:32,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,6,нет,Тбилиси,0.5 гр,0.0025,2129,808,71,29,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
7,03-08-2020 13:27:32,Tbilisi,9Y6T,WeedShop,0.5г Northen Light,True,2,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31,,,,,,,,,,,,0.5g Northen Light
8,03-08-2020 13:27:32,Tbilisi,9Y6T,WeedShop,0.5г Skunk,True,5,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31,,,,,,,,,,,,0.5g Skunk
9,03-08-2020 13:27:32,Tbilisi,9Y6T,WeedShop,0.5г Tangerine Dream,True,4,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32,,,,,,,,,,,,0.5g Tangerine Dream
10,03-08-2020 13:27:32,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,3,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32,True,,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
11,03-08-2020 13:27:32,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,4,нет,Тбилиси,0.5 гр,0.003,2496,947,83,34,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
12,03-08-2020 13:27:32,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0026,2203,836,73,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
13,03-08-2020 13:27:32,Tbilisi,I7IU,MrPickless,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,4,нет,Тбилиси,0.5 гр,0.0021,1836,697,61,25,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
14,03-08-2020 13:27:32,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0053,4406,1672,146,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
15,03-08-2020 13:27:32,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0053,4406,1672,146,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,03-08-2020 13:27:32,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59,,,,,,,,,,,,1 gr super lemon haze probnik
17,03-08-2020 13:27:32,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
