,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Авлобари,Дигоми,Varketili,Gldani,Didube,Nadzaladevi,€,Центр,Батуми,Кутаиси,desc_en
23,06-05-2020 14:16:10,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0126,8654,3219,290,119,,,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
24,06-05-2020 14:16:10,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0111,7636,2840,256,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
25,06-05-2020 14:16:10,Tbilisi,V76M,Endorphin,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0055,4000,1488,134,55,,True,,,,,,,,,,,Suboxene 4mg
26,06-05-2020 14:16:10,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0323,23272,8656,781,320,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,06-05-2020 14:16:10,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0312,21818,8115,732,300,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,06-05-2020 14:16:10,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,5 гр,0.0125,8654,3219,290,119,,True,,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
29,06-05-2020 14:16:10,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0186,12727,4734,427,175,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,06-05-2020 14:16:10,Tbilisi,PTO3,MeDuZa777,THE BEST GAGARIN WEED 5g (TOP)(VHQ),True,6,нет,Тбилиси,5 гр,0.0205,14182,5275,476,195,,,,,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
31,06-05-2020 14:16:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1171,83635,31108,2806,1150,,,,,,,,,,,,,VHQ BEST Cocaine 5g.
32,06-05-2020 14:16:10,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,1,3,Тбилиси,5 гр,0.0201,13745,5112,461,189,,True,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
33,06-05-2020 14:16:10,Tbilisi,18SM,TBILICKI77,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.0105,7273,2705,244,100,,True,,,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
34,06-05-2020 14:16:10,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,10 гр,0.0209,14473,5383,486,199,,True,,,,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
35,06-05-2020 14:16:47,Tbilisi,PTO3,MeDuZa777,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,1,нет,Тбилиси,10 гр,0.0399,27636,10279,927,380,,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
36,06-05-2020 14:16:47,Tbilisi,PTO3,MeDuZa777,THE BEST GAGARIN WEED 10g (TOP)(VHQ),True,5,нет,Тбилиси,10 гр,0.0399,27636,10279,927,380,,,,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
37,06-05-2020 14:16:47,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0403,29091,10820,976,400,,,,,,,,,,,,,gashish evro 10g
