,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Saburtalo,Vazisubani,Zahesi,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,03-07-2020 22:35:10,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0115,7843,3029,270,99.0,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,03-07-2020 22:35:10,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,2,нет,Тбилиси,0.5 гр,0.0035,2327,899,80,,True,33.0,,,,,,,,,,,0.5 gr HYBRID buds
2,2,03-07-2020 22:35:10,Tbilisi,16a8841259,0.5г Ak - 47,,8,нет,Тбилиси,0.5 гр,0.0034,2256,872,77,,True,32.0,,,,,,,,,,,0.5g Ak - 47
3,3,03-07-2020 22:35:10,Tbilisi,16a8841259,0.5г Ayahuasca Purple 100% Indica,,3,нет,Тбилиси,0.5 гр,0.0033,2186,845,75,,True,31.0,,,,,,,,,,,0.5g Ayahuasca Purple 100% Indica
4,4,03-07-2020 22:35:10,Tbilisi,16a8841259,0.5г Jamaican,,15,нет,Тбилиси,0.5 гр,0.0033,2186,845,75,,True,31.0,,,,,,,,,,,0.5g Jamaican
5,5,03-07-2020 22:35:10,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,1,нет,Тбилиси,0.5 гр,0.0147,9870,3815,339,,True,140.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
6,6,03-07-2020 22:35:10,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 0.5гр",,1,нет,Тбилиси,0.5 гр,0.0029,2115,818,73,,,30.0,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 0.5gr"
7,7,03-07-2020 22:35:10,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,10,нет,Тбилиси,0.5 гр,0.0034,2256,872,77,,,32.0,,True,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
8,8,03-07-2020 22:35:10,Tbilisi,52fe6d0af9,VHQ Hash From Morroco Iso 0.5G THC 23%+,,11,нет,Тбилиси,0.5 гр,0.0058,3878,1499,133,,True,55.0,,,True,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
9,9,03-07-2020 22:35:10,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0063,4230,1635,145,,True,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
