,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-03-2020 18:03:00,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.011000000000000001,4448,1665,140,60.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,16-03-2020 18:03:00,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,4,нет,Тбилиси,0.25 гр,0.0317,14084,5273,445,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,16-03-2020 18:03:00,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,7,3,Тбилиси,0.3 гр,0.0556,22238,8325,702,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
3,3,16-03-2020 18:03:00,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,9,нет,Тбилиси,0.5 гр,0.0202,8080,3025,255,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
4,4,16-03-2020 18:03:00,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0174,7339,2747,232,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,5,16-03-2020 18:03:00,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,3,нет,Тбилиси,0.5 гр,0.0101,4077,1526,129,55.0,True,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
6,6,16-03-2020 18:03:00,Tbilisi,99accec7c7,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,22,нет,Тбилиси,0.5 гр,0.0183,7413,2775,234,100.0,True,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
7,7,16-03-2020 18:03:00,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,2,нет,Тбилиси,0.5 гр,0.0046,1853,694,59,25.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
8,8,16-03-2020 18:03:00,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,1 гр,0.0083,3706,1388,117,50.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
9,9,16-03-2020 18:03:00,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0092,3706,1388,117,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,10,16-03-2020 18:03:00,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,7,нет,Тбилиси,1 гр,0.006999999999999999,2891,1082,91,39.0,,,,,,,,,,,1G ---> ONLY BUDS
11,11,16-03-2020 18:03:00,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,6,нет,Тбилиси,1 гр,0.0147,5930,2220,187,80.0,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
12,12,16-03-2020 18:03:00,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0315,13269,4967,419,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
13,13,16-03-2020 18:03:00,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,4,нет,Тбилиси,1 гр,0.0202,8154,3053,257,110.0,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
14,14,16-03-2020 18:03:00,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,5,нет,Тбилиси,1 гр,0.0917,40769,15263,1287,550.0,,,,,,,,,,,Metadon VHQ 1 24/7
15,15,16-03-2020 18:03:00,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,4,нет,Тбилиси,1 гр,0.0092,3706,1388,117,50.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
16,16,16-03-2020 18:03:00,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,4,нет,Тбилиси,1 гр,0.0076,3113,1166,98,42.0,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
17,17,16-03-2020 18:03:00,Tbilisi,99accec7c7,cocaine 1gr СУПЕР COCA!!!,,6,нет,Тбилиси,1 гр,0.0333,14825,5550,468,200.0,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
18,18,16-03-2020 18:03:00,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0343,14010,5245,442,189.0,,,,,,,,,,,Kokain HQ 1g.
19,19,16-03-2020 18:03:00,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1501,66714,24975,2106,900.0,,,,,,,,,,,Metadon 1gr
20,20,16-03-2020 18:03:00,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0033,1483,555,47,20.0,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
21,21,16-03-2020 18:03:00,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0202,8080,3025,255,109.0,,,,,,,,,,,✨ 1g. MDMA ✨
22,22,16-03-2020 18:03:00,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,18,нет,Тбилиси,2 гр,0.015,6671,2498,211,90.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
23,23,16-03-2020 18:03:00,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.0146,5856,2192,185,79.0,,,True,,,,,,,,2g super Skunk top class buds. Indica
24,24,16-03-2020 18:03:00,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0667,26685,9990,842,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
25,25,16-03-2020 18:03:00,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0491,20687,7693,654,,,,,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
26,26,16-03-2020 18:03:00,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0195,7783,2914,246,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
27,27,16-03-2020 18:03:00,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.0213,8525,3191,269,115.0,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
28,28,16-03-2020 18:03:00,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0534,23720,8880,749,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,29,16-03-2020 18:03:00,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0545,22238,8325,702,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
30,30,16-03-2020 18:03:00,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0668,28134,10462,889,,,,,340.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
31,31,16-03-2020 18:03:00,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0324,12972,4856,410,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,32,16-03-2020 18:03:00,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1443,58337,21839,1842,787.0,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
33,33,16-03-2020 18:03:00,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0283,12601,4718,398,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
34,34,16-03-2020 18:04:14,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,12,нет,Тбилиси,5 гр,0.0109,4818,1804,152,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,16-03-2020 18:04:14,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0671,27056,10129,854,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,36,16-03-2020 18:04:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0491,19792,7409,625,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,37,16-03-2020 18:04:14,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.0165,7339,2747,232,99.0,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,16-03-2020 18:04:14,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0706,29650,11100,936,400.0,,,,,,,,,,,gashish evro 10g
39,39,16-03-2020 18:04:14,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,15,5,Тбилиси,0.27 гр,0.0501,20014,7493,632,270.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
40,40,16-03-2020 18:04:14,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,4,Тбилиси,0.35 гр,0.0423,17049,6383,538,230.0,,,,,,,,,,,Methadone HQ in city 0.35g
41,41,16-03-2020 18:04:14,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.13,51888,19425,1638,700.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
42,42,16-03-2020 18:04:14,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1287,51888,19425,1638,700.0,,,,,,,,,,,Methadone HQ in city 1.4g
43,43,16-03-2020 18:04:14,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.1095,43734,16373,1381,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,44,16-03-2020 18:04:14,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0735,29650,11100,936,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,16-03-2020 18:04:14,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.1011,40769,15263,1287,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
46,46,16-03-2020 18:04:14,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0287,11564,4329,365,156.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,47,16-03-2020 18:04:14,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0366,14751,5522,466,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,48,16-03-2020 18:04:14,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0294,11860,4440,374,160.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,49,16-03-2020 18:04:14,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0366,14751,5522,466,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,50,16-03-2020 18:04:14,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0366,14751,5522,466,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
51,51,16-03-2020 18:04:14,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0267,10748,4024,339,145.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,16-03-2020 18:04:14,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0366,16234,6077,513,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,16-03-2020 18:04:14,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0557,22238,8325,702,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
