,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
23,23,04-08-2020 16:19:34,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,28,нет,Тбилиси,1 гр,0.0043,3596,1370,120,49.0,,,,,,,,,,,,1gr HYBRID o.g
24,24,04-08-2020 16:19:34,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,11,нет,Тбилиси,1 гр,0.0043,3596,1370,120,49.0,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
25,25,04-08-2020 16:19:34,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0041,3376,1286,113,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
26,26,04-08-2020 16:19:34,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,16,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
27,27,04-08-2020 16:19:34,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 1 гр",True,4,нет,Тбилиси,1 гр,0.0044,4036,1537,135,55.0,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
28,28,04-08-2020 16:19:34,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,4,нет,Тбилиси,1 гр,0.0033,3009,1146,100,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
29,29,04-08-2020 16:19:34,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0051,4256,1621,142,58.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
30,30,04-08-2020 16:19:34,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0044,3669,1398,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
31,31,04-08-2020 16:19:34,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0044,4036,1537,135,55.0,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
32,32,04-08-2020 16:19:34,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,1,нет,Тбилиси,1 гр,0.0034,2935,1118,98,40.0,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
