,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,27-05-2020 22:25:08,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0092,6325,2419,214,89.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,1,27-05-2020 22:25:08,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0105,7106,2718,240,100.0,True,,,,,,,,,,Iranian Sirec 0.25g.
2,2,27-05-2020 22:25:08,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,7,нет,Тбилиси,0.5 гр,0.0058,3909,1495,132,55.0,,True,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,27-05-2020 22:25:08,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,8,нет,Тбилиси,0.5 гр,0.0031,2061,788,70,29.0,,True,True,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,27-05-2020 22:25:08,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,8,нет,Тбилиси,0.5 гр,0.0032,2132,815,72,30.0,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,27-05-2020 22:25:08,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0049,3624,1386,123,51.0,,True,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,6,27-05-2020 22:25:08,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0248,16700,6387,564,235.0,True,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,27-05-2020 22:25:08,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0862,63957,24462,2162,900.0,True,,,,,,,,,,Metadon 1gr
8,8,27-05-2020 22:25:08,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0254,16984,6496,574,239.0,,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
9,9,27-05-2020 22:25:08,Tbilisi,0dec0e1c48,2gr HYBRID buds,,17,нет,Тбилиси,2 гр,0.0093,6254,2392,211,88.0,True,,,,,,,,,,2gr HYBRID buds
10,10,27-05-2020 22:25:08,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,2 гр,0.0075,4974,1903,168,70.0,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
11,11,27-05-2020 22:25:08,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,4,нет,Тбилиси,2 гр,0.0501,34110,13046,1153,480.0,True,,,,,,,,,,VHQ BEST Cocaine 2g.
12,12,27-05-2020 22:25:08,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.009000000000000001,6040,2310,204,85.0,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
13,13,27-05-2020 22:25:08,Tbilisi,8528108b62,3g. марихуана шишки Critical,,3,нет,Тбилиси,3 гр,0.0144,10660,4077,360,150.0,True,,,,,,,,,,3g. marihuana shishki Critical
14,14,27-05-2020 22:25:08,Tbilisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0341,23451,8969,793,330.0,,,,True,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
15,15,27-05-2020 22:25:08,Tbilisi,be97026d1d,!!Critical Kush 5g!!,True,2,нет,Тбилиси,5 гр,0.0252,16984,6496,574,239.0,,,,,,,,,,,!!Critical Kush 5g!!
16,16,27-05-2020 22:25:08,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,5 гр,0.0146,9878,3778,334,139.0,,True,,,,,,,,,5 gr georgian weed. Package on magnet
17,17,27-05-2020 22:25:08,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0186,12436,4757,420,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,18,27-05-2020 22:25:08,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,2,нет,Тбилиси,5 гр,0.0266,17766,6795,601,250.0,True,,,,,,,,,,MARIXYANA - INDICA - 5 G.
19,19,27-05-2020 22:25:08,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1175,81723,31257,2762,1150.0,True,,,,,,,,,,VHQ BEST Cocaine 5g.
20,20,27-05-2020 22:25:08,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0231,15563,5952,526,219.0,,True,,,,,,,,,10 gr georgian weed. Package on magnet
21,21,27-05-2020 22:25:08,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,1,нет,Тбилиси,10 гр,0.0142,9594,3669,324,135.0,True,,,,,,,,,,10G Hybrid Marijuana Leafs
22,22,27-05-2020 22:25:08,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.046,31979,12231,1081,450.0,True,,,,,,,,,,Gashish Evro 10gr
23,23,27-05-2020 22:25:08,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,9,нет,Тбилиси,20 гр,0.0034,2558,978,86,36.0,True,,,,,,,,,,GABAGAMA 20 SHTUK
24,24,27-05-2020 22:25:08,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0786,55216,21119,1866,777.0,True,,,,,,,,,,Gashish Evro 20gr
25,25,27-05-2020 22:25:08,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0077,5685,2174,192,80.0,True,,,,,,,,,,GABAGAMA 50 SHTUK
26,26,27-05-2020 22:25:08,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1916,142127,54360,4804,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,27-05-2020 22:25:08,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0177,13147,5028,444,185.0,True,,,,,,,,,,GABAGAMA 150 shtuk
28,28,27-05-2020 22:25:08,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0224,14923,5708,504,210.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
29,29,27-05-2020 22:25:08,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0393,26222,10029,886,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,27-05-2020 22:25:08,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0616,41146,15737,1391,579.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,31,27-05-2020 22:25:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0422,28425,10872,961,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,27-05-2020 22:25:08,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0148,9949,3805,336,140.0,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
33,33,27-05-2020 22:26:01,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0148,9949,3805,336,140.0,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
34,34,27-05-2020 22:26:01,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0742,49744,19026,1681,700.0,True,,,,,,,,,,"""Kief"" Weed trichomes 5G"
