,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Тбилиси,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,25-04-2020 05:26:53,Tbilisi,U26MW,Skyhigh,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0034,1943,711,64,26,,,,,,,,,,,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G
1,25-04-2020 05:26:53,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0144,8144,2981,268,109,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,25-04-2020 05:26:53,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,1 гр,0.0052,2989,1094,99,40,,True,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
3,25-04-2020 05:26:53,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1071,67245,24615,2217,900,,,True,,,,,,,,Metadon 1gr
4,25-04-2020 05:26:53,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0119,7472,2735,246,100,,,True,,,,,,,,2 G Hybrid Marijuana Buds
5,25-04-2020 05:26:53,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,,2,нет,Тбилиси,2 гр,0.0105,5903,2161,195,79,,,True,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,25-04-2020 05:26:53,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0111,6351,2325,209,85,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
7,25-04-2020 05:26:53,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,,2,нет,Тбилиси,3 гр,0.0139,7845,2872,259,105,,,True,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
8,25-04-2020 05:26:53,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,2,нет,Тбилиси,3 гр,0.0157,8891,3255,293,119,,,True,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
9,25-04-2020 05:26:53,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0157,8891,3255,293,119,,,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
