,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
17,17,24-07-2020 06:48:40,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,3,нет,Тбилиси,2 гр,0.0114,7806,3091,262,,True,110.0,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
18,18,24-07-2020 06:48:40,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,2 гр,0.0124,8516,3372,286,,True,120.0,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,24-07-2020 06:48:40,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0124,8516,3372,286,,True,120.0,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,20,24-07-2020 06:48:40,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0114,7806,3091,262,,True,110.0,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
21,21,24-07-2020 06:48:40,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0103,7096,2810,239,,True,100.0,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
22,22,24-07-2020 06:48:40,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,4,нет,Тбилиси,2 гр,0.0124,8516,3372,286,,True,120.0,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,23,24-07-2020 06:48:40,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0103,7806,3091,262,,True,110.0,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
24,24,24-07-2020 06:48:40,Tbilisi,d04eeb6525,Hybrid Bomba 2 г. TOP BUDS Very Strong,,1,нет,Тбилиси,2 гр,0.0102,7735,3063,260,,True,109.0,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
25,25,24-07-2020 06:48:40,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0134,9225,3653,310,,,130.0,,,,,,,,,Badazz Kush 3G VHQ 25% THC
26,26,24-07-2020 06:48:40,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0025,1703,674,57,,,24.0,,True,,,,,,,Marijuana Super Skunk leaves 3g plan
27,27,24-07-2020 06:48:40,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.0108,8161,3232,274,,True,115.0,,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
28,28,24-07-2020 06:48:40,Tbilisi,97d5fcd29b,Suboxene 4mg,True,2,нет,Тбилиси,4 гр,0.0055,3903,1546,131,,,55.0,,,,,,,,,Suboxene 4mg
29,29,24-07-2020 06:48:40,Tbilisi,e771f4c371,Skunk 4.2G (23 % THC) FROM EUROPE,,1,нет,Тбилиси,4.2 гр,0.0217,14902,5901,501,,True,210.0,,,,,,,,,Skunk 4.2G (23 % THC) FROM EUROPE
30,30,24-07-2020 06:48:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0289,19870,7868,668,,True,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
31,31,24-07-2020 06:48:40,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0279,19160,7587,644,,True,270.0,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
32,32,24-07-2020 06:48:40,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0183,13838,5480,465,,True,195.0,,,,,,,,,5g. marihuana shishki Critical
33,33,24-07-2020 06:48:40,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,1,Тбилиси,5 гр,0.0226,17031,6744,573,,True,240.0,True,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
34,34,24-07-2020 06:48:40,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 20gramm special price,,1,нет,Тбилиси,20 гр,0.0545,41159,16298,1384,,True,580.0,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
35,35,24-07-2020 06:48:40,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2086,141926,56200,4771,,True,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,36,24-07-2020 06:49:46,Tbilisi,9610a68a0a,suboxsone 0.4 g,,нет,7,Тбилиси,0.4 гр,0.0041,2839,1124,95,,True,40.0,,,,,,,,,suboxsone 0.4 g
37,37,24-07-2020 06:49:46,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0374,25479,10066,856,310.0,True,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
38,38,24-07-2020 06:49:46,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0258,17741,7025,596,,True,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
39,39,24-07-2020 06:49:46,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,6,Тбилиси,5 гр,0.0279,19160,7587,644,,True,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
40,40,24-07-2020 06:49:46,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0284,19515,7728,656,,True,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
41,41,24-07-2020 06:49:46,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0248,17031,6744,573,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,42,24-07-2020 06:49:46,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0289,19870,7868,668,,True,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,24-07-2020 06:49:46,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0279,19160,7587,644,,True,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,24-07-2020 06:49:46,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0206,15541,6154,522,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,24-07-2020 06:49:46,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,7,Тбилиси,5 гр,0.0243,16676,6604,561,,True,235.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
46,46,24-07-2020 06:49:46,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0279,19160,7587,644,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,47,24-07-2020 06:49:46,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2516,190000,87429,6386,,True,,,,,,,,,,reagent 25i nbome. 5gr
48,48,24-07-2020 06:49:46,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2819,212889,84300,7157,,,3000.0,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,24-07-2020 06:49:46,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,,нет,2,Тбилиси,5 гр,0.0258,17741,7025,596,,True,250.0,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
50,50,24-07-2020 06:49:46,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0242,16438,6494,552,200.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
51,51,24-07-2020 06:49:46,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.09300000000000001,63867,25290,2147,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,24-07-2020 06:49:46,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0568,39030,15455,1312,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,24-07-2020 06:49:46,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0724,49674,19670,1670,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,24-07-2020 06:49:46,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0434,29804,11802,1002,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,24-07-2020 06:49:46,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0827,56770,22480,1909,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,24-07-2020 06:49:46,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,1,8,Тбилиси,10 гр,0.0434,29804,11802,1002,,True,420.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
57,57,24-07-2020 06:49:46,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0357,26966,10678,907,,True,380.0,,,,,,,,,Northern Lights Regular [budsonly] 10gram
58,58,24-07-2020 06:49:46,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.23,157893,62523,5308,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,24-07-2020 06:49:46,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0424,29095,11521,978,,True,410.0,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
60,60,24-07-2020 06:49:46,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0532,36163,14287,1215,440.0,True,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
61,61,24-07-2020 06:49:46,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0471,32054,12663,1077,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
62,62,24-07-2020 06:49:46,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0611,46126,18265,1551,,True,650.0,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
63,63,24-07-2020 06:49:46,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2481,170311,67440,5726,,True,2400.0,,,,,,,,,100 gr marijuana buds
64,64,24-07-2020 06:49:46,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2584,177408,70250,5964,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,24-07-2020 06:49:46,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,2,Тбилиси,100 гр,0.0362,24837,9835,835,,,350.0,,,True,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
66,66,24-07-2020 06:49:46,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6098,418682,165790,14076,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
67,67,24-07-2020 06:49:46,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.1034,70963,28100,2386,,,1000.0,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
68,68,24-07-2020 06:49:46,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8785,603186,238850,20278,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,24-07-2020 06:49:46,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0188,14193,5620,477,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
70,70,24-07-2020 06:50:33,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0155,10644,4215,358,,,150.0,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
71,71,24-07-2020 06:50:33,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0258,17741,7025,596,,True,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,72,24-07-2020 06:50:33,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0376,28385,11240,954,,True,400.0,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
73,73,24-07-2020 06:50:33,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0207,14193,5620,477,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,24-07-2020 06:50:33,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0258,17741,7025,596,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
75,75,24-07-2020 06:50:33,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0517,35482,14050,1193,,True,500.0,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
76,76,24-07-2020 06:50:33,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5645,1064445,421500,35786,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,24-07-2020 06:50:33,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0517,35482,14050,1193,,,500.0,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
78,78,24-07-2020 06:52:51,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,6,нет,Батуми,2 гр,0.0043,2980,1180,100,,,42.0,,,,,,,True,,Melkie shishki (Indica) 2g
79,79,24-07-2020 06:52:51,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0254,19160,7587,644,,,270.0,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
80,80,24-07-2020 06:52:51,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0341,23418,9273,787,,,330.0,,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
81,81,24-07-2020 06:52:51,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0465,31933,12645,1074,,,450.0,,,,,,,,True,Super Critical 10G
82,82,24-07-2020 06:52:51,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0374,25479,10066,856,310.0,,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
83,83,24-07-2020 06:52:51,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0532,36163,14287,1215,440.0,,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
84,84,24-07-2020 06:52:51,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0471,32054,12663,1077,390.0,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
85,85,24-07-2020 06:52:51,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0482,32794,12956,1102,399.0,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
86,86,24-07-2020 06:52:51,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1646,112990,51992,3798,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
87,87,24-07-2020 06:52:51,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2606,178900,82321,6013,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
88,88,24-07-2020 06:52:51,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7096,2810,239,,,100.0,,,,,,,True,,kur'er v Batumi
89,89,24-07-2020 06:52:51,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,17741,7025,596,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
90,90,24-07-2020 06:52:51,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,17741,7025,596,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
91,91,24-07-2020 06:52:51,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0207,14193,5620,477,,,200.0,,,,,,,True,,Kur'er Batumi na marihuanu
92,92,24-07-2020 06:52:51,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5645,1064445,421500,35786,,,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
93,93,24-07-2020 06:52:51,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0517,35482,14050,1193,,,500.0,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
