,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
0,0,24-07-2020 06:48:40,Tbilisi,be97026d1d,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,8,нет,Тбилиси,0.5 гр,0.0068,4767,1883,160,58.0,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,1,24-07-2020 06:48:40,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,10,нет,Тбилиси,0.5 гр,0.0034,2342,927,79,,True,33.0,,,,,,,,,0.5 gr HYBRID buds
2,2,24-07-2020 06:48:40,Tbilisi,21de5577be,0.5 gr. Afghan kush (Indika),True,1,нет,Тбилиси,0.5 гр,0.0032,2200,871,74,,,31.0,,,,,,,,,0.5 gr. Afghan kush (Indika)
3,3,24-07-2020 06:48:40,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,1 гр,0.0062,4258,1686,143,,,60.0,True,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
4,4,24-07-2020 06:48:40,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,5,нет,Тбилиси,1 гр,0.0061,4187,1658,141,,,59.0,True,,,,,,,,1 G Hybrid Marijuana Buds
5,5,24-07-2020 06:48:40,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,3,нет,Тбилиси,1 гр,0.0062,4258,1686,143,,True,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,6,24-07-2020 06:48:40,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0057,3903,1546,131,,True,55.0,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,7,24-07-2020 06:48:40,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0061,4187,1658,141,,True,59.0,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
8,8,24-07-2020 06:48:40,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),True,2,нет,Тбилиси,1 гр,0.0055,3761,1489,126,,,53.0,,,,,,,,,1.0 gr. Afghan kush (Indika)
9,9,24-07-2020 06:48:40,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,2,нет,Тбилиси,1 гр,0.0055,3761,1489,126,,,53.0,,,,,,,,,1G ---> Big Devil (BTC - Sale)
10,10,24-07-2020 06:48:40,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,2,нет,Тбилиси,1 гр,0.0406,27605,10931,928,,True,389.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
11,11,24-07-2020 06:48:40,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,10,нет,Тбилиси,1 гр,0.0051,3477,1377,117,,True,49.0,,,,,,,,,1gr HYBRID o.g
12,12,24-07-2020 06:48:40,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 1гр",,1,нет,Тбилиси,1 гр,0.0052,3903,1546,131,,True,55.0,,,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
13,13,24-07-2020 06:48:40,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3903,1546,131,,True,55.0,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
14,14,24-07-2020 06:48:40,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,,24,нет,Тбилиси,1 гр,0.0051,3600,1657,121,,True,,,,,,,,,,Shishka dobraja 1 g
15,15,24-07-2020 06:48:40,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0102,7025,2782,236,,,99.0,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,16,24-07-2020 06:48:40,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0113,7735,3063,260,,,109.0,True,,,,,,,,2 G Hybrid Marijuana Buds
