,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-03-2020 21:19:26,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,14,нет,Тбилиси,0.25 гр,0.0278,13906,5094,446,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,13-03-2020 21:19:26,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,17,нет,Тбилиси,0.25 гр,0.0258,11710,4290,376,160.0,,,,,,,,,,,"Metadon VHQ 0,25"
2,2,13-03-2020 21:19:26,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0488,21956,8043,704,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
3,3,13-03-2020 21:19:26,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0153,7246,2654,232,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,13-03-2020 21:19:26,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0168,7978,2922,256,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,13-03-2020 21:19:26,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,5,нет,Тбилиси,0.5 гр,0.0048,2196,804,70,30.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,6,13-03-2020 21:19:26,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0161,7246,2654,232,99.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
7,7,13-03-2020 21:19:26,Tbilisi,8a650ecf5f,"A-PVP 0,66 g VHQ",True,1,нет,Тбилиси,0.66 гр,0.019,9514,3485,305,130.0,,,,,,,,,,,"A-PVP 0,66 g VHQ"
8,8,13-03-2020 21:19:26,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,1 гр,0.0073,3659,1341,117,50.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
9,9,13-03-2020 21:19:26,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,1 гр,0.0081,3659,1341,117,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,10,13-03-2020 21:19:26,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,6,нет,Тбилиси,1 гр,0.0072,3293,1206,106,45.0,True,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
11,11,13-03-2020 21:19:26,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,3,нет,Тбилиси,1 гр,0.0137,6221,2279,200,85.0,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
12,12,13-03-2020 21:19:26,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0153,6958,2546,225,,,85.0,,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
