,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,€,Vake,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
26,03-02-2020 15:57:34,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0206,12718,5005,425,199,,,,,,,,,,,Kokain HQ 1g.
27,03-02-2020 15:57:34,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0209,12718,5005,425,199,,,True,,,,,,,,Kokain KOLUMBIA 1g
28,03-02-2020 15:57:34,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0471,28759,11318,962,450,,,,,,,,,,,"Metadon, 1gr"
29,03-02-2020 15:57:34,Tbilisi,JPY,OaksShopp,мощный гибрид /hybrid weed 1g strong,,4,нет,Тбилиси,1 гр,0.0033,2237,880,75,35,,,,True,,,,,,,moschnyj gibrid /hybrid weed 1g strong
30,03-02-2020 15:57:34,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,True,3,нет,Тбилиси,1 гр,0.0105,6327,2490,212,99,,,,,,,,,,,✨ 1g. MDMA ✨
31,03-02-2020 15:57:34,Tbilisi,9VLN,AlienShop,❄1g. New COCAINE!!❄,True,2,нет,Тбилиси,1 гр,0.019,11504,4527,385,180,,,,,,,,,,,❄1g. New COCAINE!!❄
32,03-02-2020 15:57:34,Tbilisi,0WE,Khachapuri,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0078,4955,1943,165,,,70,,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
33,03-02-2020 15:57:34,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0401,24222,9532,810,379,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
34,03-02-2020 15:57:34,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",True,2,нет,Тбилиси,2 гр,0.0084,5624,2213,188,88,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
35,03-02-2020 15:57:34,Tbilisi,ITJ,seazon,Georgian Sativa 2 gr //btc 10 % sale// sale sale sale !!!,,5,нет,Тбилиси,2 гр,0.0035,2365,931,79,37,,,,True,,,,,,,Georgian Sativa 2 gr //btc 10 % sale// sale sale sale !!!
36,03-02-2020 15:58:11,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.019,11504,4527,385,180,,,,,,,,,,,Ketamine 2 g
37,03-02-2020 15:58:11,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0229,15338,6036,513,240,,,,,,,,,,,NZT-52 mind storm limited 2g muka
38,03-02-2020 15:58:11,Tbilisi,V4T,COCAcoLA,Гашиш gashish 2 грамма лучшая цена 10% при покупки биткойном!,True,7,нет,Тбилиси,2 гр,0.0112,6966,2741,233,109,,,,,,,,,,,Gashish gashish 2 gramma luchshaja tsena 10% pri pokupki bitkojnom!
39,03-02-2020 15:58:11,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0401,25500,10035,853,399,,,,,,,,,,,Kokain HQ 2g.
40,03-02-2020 15:58:11,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,1,нет,Тбилиси,2 гр,0.0381,23007,9054,770,360,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,03-02-2020 15:58:11,Tbilisi,NLKH,STARS,C O C A i N E 2 g +0.1 g падарка.,True,5,нет,Тбилиси,2.1 гр,0.0351,21410,8425,716,335,,,,,,,,,,,C O C A i N E 2 g +0.1 g padarka.
42,03-02-2020 15:58:11,Tbilisi,9Y6T,MrKind,HQ сатива 2.3г,,4,нет,Тбилиси,2.3 гр,0.0058,3515,1383,118,55,,,,,True,,,,,,HQ sativa 2.3g
43,03-02-2020 15:58:11,Tbilisi,LYHBG,Playboy,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0105,6327,2490,212,99,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
44,03-02-2020 15:58:11,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 280mg MDMA. Акция 1+1=3,True,2,нет,Тбилиси,3 гр,0.0085,5113,2012,171,80,,,,,,,,,,,3x Extasy Duracell 280mg MDMA. Aktsija 1+1=3
45,03-02-2020 15:58:11,Tbilisi,V4T,COCAcoLA,GASHISH 3 gr лучшая цена,True,2,нет,Тбилиси,3 гр,0.0169,10545,4150,353,165,,,,True,,,,,,,GASHISH 3 gr luchshaja tsena
46,03-02-2020 15:58:11,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0343,23007,9054,770,360,,,,,,,,,,,NZT-52 mind storm limited 3g muka
47,03-02-2020 15:58:11,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0105,6327,2490,212,99,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
48,03-02-2020 15:58:11,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0168,10162,3999,340,159,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
49,03-02-2020 15:58:11,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0164,9906,3898,331,155,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
50,03-02-2020 15:58:11,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0809,54323,21378,1817,850,,,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
