,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
23,02-07-2020 06:47:48,Tbilisi,A3I9,Joookerrr,марки н-боом 2 шт.,,8,нет,Тбилиси,2 гр,0.0037,2465,944,85,35,True,,,,,,,,,marki n-boom 2 sht.
24,02-07-2020 06:47:48,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,3 гр,0.0091,6128,2346,211,87,,,,True,,,,,,3 gr georgian weed. Package on magnet
25,02-07-2020 06:47:48,Tbilisi,7U9YP,ChitosPizz,Weed Сорт Purple 3гр,True,1,нет,Тбилиси,3 гр,0.008,5917,2265,204,84,,,,,,,,,,Weed Sort Purple 3gr
26,02-07-2020 06:47:48,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,9,нет,Тбилиси,5 гр,0.0052,3874,1483,133,55,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
27,02-07-2020 06:47:48,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,10 гр,0.0249,16835,6443,579,239,,,,,,,,,,10 gr georgian weed. Package on magnet
28,02-07-2020 06:47:48,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,10,нет,Тбилиси,10 гр,0.0136,9087,3478,313,129,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
29,02-07-2020 06:47:48,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,3,нет,Тбилиси,10 гр,0.0455,31699,12132,1091,450,,,,,,,,,,Gashish Evro 10gr
30,02-07-2020 06:47:48,Tbilisi,A3I9,Joookerrr,Марки н-боом 10 шт.,True,3,7,Тбилиси,10 гр,0.0104,7044,2696,242,100,True,,,,,,,,,Marki n-boom 10 sht.
31,02-07-2020 06:47:48,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,10 гр,0.0081,5988,2292,206,85,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
32,02-07-2020 06:47:48,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,5,нет,Тбилиси,10 гр,0.009,6692,2561,230,95,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
